prd_cd,frm_cd,note
PRD_000146,PRF_CLR_ACRYL,본체 면적격자(부속은 addon 템플릿)
PRD_000147,PRF_ACRYL_MAGNET,본체 면적격자(마그넷은 addon 템플릿)
PRD_000148,PRF_CLR_ACRYL,본체 면적격자(부속은 addon 템플릿)
PRD_000149,PRF_ACRYL_CLIP,본체 면적격자(부속은 addon 템플릿)
PRD_000150,PRF_CLR_ACRYL,본체 면적격자(부속은 addon 템플릿)
PRD_000151,PRF_CLR_ACRYL,GB-1 견적불가 해소(맥세이프 바디=업체 가격 미정·본체만)
PRD_000152,PRF_CLR_ACRYL,본체 면적격자(부속은 addon 템플릿)
PRD_000153,PRF_ACRYL_NAMETAG_GS,고정가형 by-siz_cd(견적불가 해소)
PRD_000154,PRF_ACRYL_HAIRBAND,본체 면적격자(부속은 addon 템플릿)
PRD_000155,PRF_ACRYL_BALLPEN,고정가형 by-siz_cd(견적불가 해소)
PRD_000156,PRF_ZIBITZ_ACRYL,미바인딩 해소 시그널(실무진 확인 필요)
PRD_000157,PRF_CLR_ACRYL,아크릴네임택 — 면적공식(BYSIZ폐기·환원배포)
PRD_000158,PRF_CLR_ACRYL,아크릴 포카키링 — 면적공식
PRD_000159,PRF_CLR_ACRYL,아크릴 코스터 — 면적공식
PRD_000160,PRF_ACRYL_FREESTAND,고정가형 by-siz_cd(견적불가 해소)
PRD_000161,PRF_CLR_ACRYL,판아크릴 — 면적공식
PRD_000162,PRF_CLR_ACRYL,아크릴포카스탠드 — 면적공식
PRD_000163,PRF_ACRYL_MINIPART,단가 미정 시그널(실무진 확인 후 단가행 추가)
PRD_000164,PRF_COROTTO_ACRYL,아크릴코롯토 — 코롯토공식(고아 formula 해소)
PRD_000165,PRF_ACRYL_PHCOROTTO_TBD,미바인딩 해소 시그널(실무진 확인 필요)
PRD_000166,PRF_ACRYL_CARABINER,고정가형 by-siz_cd(완전 미적재 해소·R1)
PRD_000168,PRF_ACRYL_3DCOROTTO_TBD,미바인딩 해소 시그널(실무진 확인 필요)
PRD_000169,PRF_ACRYL_3DBLOCK_TBD,미바인딩 해소 시그널(실무진 확인 필요)
PRD_000170,PRF_ACRYL_SHAKER_TBD,미바인딩 해소 시그널(실무진 확인 필요)
PRD_000171,PRF_ZIBITZ_ACRYL,미바인딩 해소 시그널(실무진 확인 필요)
PRD_000226,PRF_GOODS_FIXED_SIZ,미바인딩 해소 시그널(실무진 확인 필요)
