comp_cd,proc_cd,siz_width,siz_height,min_qty,unit_price,grade,authority_source
COMP_FOIL_SETUP_LARGE,PROC_000038,30,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,30,50,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,30,70,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,30,90,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,30,110,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,30,130,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,30,150,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,30,170,,12000,,"price-foil-large-l1.csv B01 동판비[가로30][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,50,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로50][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,50,50,,11000,,"price-foil-large-l1.csv B01 동판비[가로50][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,50,70,,11000,,"price-foil-large-l1.csv B01 동판비[가로50][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,50,90,,11000,,"price-foil-large-l1.csv B01 동판비[가로50][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,50,110,,12000,,"price-foil-large-l1.csv B01 동판비[가로50][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,50,130,,15000,,"price-foil-large-l1.csv B01 동판비[가로50][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,50,150,,17000,,"price-foil-large-l1.csv B01 동판비[가로50][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,50,170,,19000,,"price-foil-large-l1.csv B01 동판비[가로50][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,70,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로70][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,70,50,,11000,,"price-foil-large-l1.csv B01 동판비[가로70][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,70,70,,11000,,"price-foil-large-l1.csv B01 동판비[가로70][세로70] verbatim"
