block,dim_type,axis1,axis2,qty_band,value,note
B01,area,w20,h20,,2500,투명3T 면적격자(가로/세로 mm)
B01,area,w30,h20,,2700,투명3T 면적격자(가로/세로 mm)
B01,area,w40,h20,,3000,투명3T 면적격자(가로/세로 mm)
B01,area,w50,h20,,3200,투명3T 면적격자(가로/세로 mm)
B01,area,w60,h20,,3400,투명3T 면적격자(가로/세로 mm)
B01,area,w70,h20,,3600,투명3T 면적격자(가로/세로 mm)
B01,area,w80,h20,,3800,투명3T 면적격자(가로/세로 mm)
B01,area,w90,h20,,4000,투명3T 면적격자(가로/세로 mm)
B01,area,w100,h20,,4200,투명3T 면적격자(가로/세로 mm)
B01,area,w120,h20,,4600,투명3T 면적격자(가로/세로 mm)
B01,area,w140,h20,,5000,투명3T 면적격자(가로/세로 mm)
B01,area,w160,h20,,5400,투명3T 면적격자(가로/세로 mm)
B01,area,w180,h20,,5800,투명3T 면적격자(가로/세로 mm)
B01,area,w200,h20,,6200,투명3T 면적격자(가로/세로 mm)
B01,area,w20,h30,,2700,투명3T 면적격자(가로/세로 mm)
B01,area,w30,h30,,3100,투명3T 면적격자(가로/세로 mm)
B01,area,w40,h30,,3400,투명3T 면적격자(가로/세로 mm)
B01,area,w50,h30,,3800,투명3T 면적격자(가로/세로 mm)
B01,area,w60,h30,,4000,투명3T 면적격자(가로/세로 mm)
B01,area,w70,h30,,4300,투명3T 면적격자(가로/세로 mm)
B01,area,w80,h30,,4700,투명3T 면적격자(가로/세로 mm)
B01,area,w90,h30,,5000,투명3T 면적격자(가로/세로 mm)
B01,area,w100,h30,,5300,투명3T 면적격자(가로/세로 mm)
B01,area,w120,h30,,5900,투명3T 면적격자(가로/세로 mm)
B01,area,w140,h30,,6500,투명3T 면적격자(가로/세로 mm)
B01,area,w160,h30,,7100,투명3T 면적격자(가로/세로 mm)
B01,area,w180,h30,,7700,투명3T 면적격자(가로/세로 mm)
B01,area,w200,h30,,8300,투명3T 면적격자(가로/세로 mm)
B01,area,w20,h40,,3000,투명3T 면적격자(가로/세로 mm)
B01,area,w30,h40,,3400,투명3T 면적격자(가로/세로 mm)
B01,area,w40,h40,,3800,투명3T 면적격자(가로/세로 mm)
B01,area,w50,h40,,4200,투명3T 면적격자(가로/세로 mm)
B01,area,w60,h40,,4700,투명3T 면적격자(가로/세로 mm)
B01,area,w70,h40,,5100,투명3T 면적격자(가로/세로 mm)
B01,area,w80,h40,,5500,투명3T 면적격자(가로/세로 mm)
B01,area,w90,h40,,5900,투명3T 면적격자(가로/세로 mm)
B01,area,w100,h40,,6400,투명3T 면적격자(가로/세로 mm)
B01,area,w120,h40,,7400,투명3T 면적격자(가로/세로 mm)
B01,area,w140,h40,,8400,투명3T 면적격자(가로/세로 mm)
B01,area,w160,h40,,9400,투명3T 면적격자(가로/세로 mm)
B01,area,w180,h40,,10400,투명3T 면적격자(가로/세로 mm)
B01,area,w200,h40,,11400,투명3T 면적격자(가로/세로 mm)
B01,area,w20,h50,,3200,투명3T 면적격자(가로/세로 mm)
B01,area,w30,h50,,3700,투명3T 면적격자(가로/세로 mm)
B01,area,w40,h50,,4200,투명3T 면적격자(가로/세로 mm)
B01,area,w50,h50,,4800,투명3T 면적격자(가로/세로 mm)
B01,area,w60,h50,,5300,투명3T 면적격자(가로/세로 mm)
B01,area,w70,h50,,5800,투명3T 면적격자(가로/세로 mm)
B01,area,w80,h50,,6400,투명3T 면적격자(가로/세로 mm)
B01,area,w90,h50,,6900,투명3T 면적격자(가로/세로 mm)
B01,area,w100,h50,,7400,투명3T 면적격자(가로/세로 mm)
B01,area,w120,h50,,8400,투명3T 면적격자(가로/세로 mm)
B01,area,w140,h50,,9400,투명3T 면적격자(가로/세로 mm)
B01,area,w160,h50,,10400,투명3T 면적격자(가로/세로 mm)
B01,area,w180,h50,,11400,투명3T 면적격자(가로/세로 mm)
B01,area,w200,h50,,12400,투명3T 면적격자(가로/세로 mm)
B01,area,w20,h60,,3400,투명3T 면적격자(가로/세로 mm)
B01,area,w30,h60,,4000,투명3T 면적격자(가로/세로 mm)
B01,area,w40,h60,,4700,투명3T 면적격자(가로/세로 mm)
B01,area,w50,h60,,5300,투명3T 면적격자(가로/세로 mm)
B01,area,w60,h60,,5900,투명3T 면적격자(가로/세로 mm)
B01,area,w70,h60,,6600,투명3T 면적격자(가로/세로 mm)
B01,area,w80,h60,,7200,투명3T 면적격자(가로/세로 mm)
B01,area,w90,h60,,7800,투명3T 면적격자(가로/세로 mm)
B01,area,w100,h60,,8500,투명3T 면적격자(가로/세로 mm)
B01,area,w120,h60,,9900,투명3T 면적격자(가로/세로 mm)
B01,area,w140,h60,,11300,투명3T 면적격자(가로/세로 mm)
B01,area,w160,h60,,12700,투명3T 면적격자(가로/세로 mm)
B01,area,w180,h60,,14100,투명3T 면적격자(가로/세로 mm)
B01,area,w200,h60,,15500,투명3T 면적격자(가로/세로 mm)
B01,area,w20,h70,,3600,투명3T 면적격자(가로/세로 mm)
B01,area,w30,h70,,4300,투명3T 면적격자(가로/세로 mm)
B01,area,w40,h70,,5100,투명3T 면적격자(가로/세로 mm)
B01,area,w50,h70,,5800,투명3T 면적격자(가로/세로 mm)
B01,area,w60,h70,,6600,투명3T 면적격자(가로/세로 mm)
B01,area,w70,h70,,7300,투명3T 면적격자(가로/세로 mm)
B01,area,w80,h70,,8100,투명3T 면적격자(가로/세로 mm)
B01,area,w90,h70,,8800,투명3T 면적격자(가로/세로 mm)
B01,area,w100,h70,,9500,투명3T 면적격자(가로/세로 mm)
B01,area,w120,h70,,10900,투명3T 면적격자(가로/세로 mm)
B01,area,w140,h70,,12300,투명3T 면적격자(가로/세로 mm)
B01,area,w160,h70,,13700,투명3T 면적격자(가로/세로 mm)
B01,area,w180,h70,,15100,투명3T 면적격자(가로/세로 mm)
B01,area,w200,h70,,16500,투명3T 면적격자(가로/세로 mm)
B01,area,w20,h80,,3800,투명3T 면적격자(가로/세로 mm)
B01,area,w30,h80,,4700,투명3T 면적격자(가로/세로 mm)
B01,area,w40,h80,,5500,투명3T 면적격자(가로/세로 mm)
B01,area,w50,h80,,6400,투명3T 면적격자(가로/세로 mm)
B01,area,w60,h80,,7200,투명3T 면적격자(가로/세로 mm)
B01,area,w70,h80,,8100,투명3T 면적격자(가로/세로 mm)
B01,area,w80,h80,,8900,투명3T 면적격자(가로/세로 mm)
B01,area,w90,h80,,9800,투명3T 면적격자(가로/세로 mm)
B01,area,w100,h80,,10600,투명3T 면적격자(가로/세로 mm)
B01,area,w120,h80,,12200,투명3T 면적격자(가로/세로 mm)
B01,area,w140,h80,,13800,투명3T 면적격자(가로/세로 mm)
B01,area,w160,h80,,15400,투명3T 면적격자(가로/세로 mm)
B01,area,w180,h80,,17000,투명3T 면적격자(가로/세로 mm)
B01,area,w200,h80,,18600,투명3T 면적격자(가로/세로 mm)
B01,area,w20,h90,,4000,투명3T 면적격자(가로/세로 mm)
B01,area,w30,h90,,5000,투명3T 면적격자(가로/세로 mm)
