block,product_group,dim_type,price_model,siz_label,mat_group,mat_codes,qty_band,value,source,note
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp1,MAT153유포/MAT084비코팅/MAT242미색,1,6000,price-sticker-price-l1.csv:B5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp2,MAT155무광/MAT156유광,1,7000,price-sticker-price-l1.csv:C5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp3,MAT162투명/MAT163홀로그램,1,7000,price-sticker-price-l1.csv:D5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp1,MAT153유포/MAT084비코팅/MAT242미색,1,5000,price-sticker-price-l1.csv:E5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp2,MAT155무광/MAT156유광,1,6000,price-sticker-price-l1.csv:F5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp3,MAT162투명/MAT163홀로그램,1,6000,price-sticker-price-l1.csv:G5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp1,MAT153유포/MAT084비코팅/MAT242미색,1,5000,price-sticker-price-l1.csv:H5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp2,MAT155무광/MAT156유광,1,6000,price-sticker-price-l1.csv:I5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp3,MAT162투명/MAT163홀로그램,1,6000,price-sticker-price-l1.csv:J5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp1,MAT153유포/MAT084비코팅/MAT242미색,1,6000,price-sticker-price-l1.csv:K5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp2,MAT155무광/MAT156유광,1,7000,price-sticker-price-l1.csv:L5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp3,MAT162투명/MAT163홀로그램,1,7000,price-sticker-price-l1.csv:M5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp1,MAT153유포/MAT084비코팅/MAT242미색,1,6700,price-sticker-price-l1.csv:N5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp2,MAT155무광/MAT156유광,1,7700,price-sticker-price-l1.csv:O5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp3,MAT162투명/MAT163홀로그램,1,7700,price-sticker-price-l1.csv:P5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp1,MAT153유포/MAT084비코팅/MAT242미색,1,6700,price-sticker-price-l1.csv:Q5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp2,MAT155무광/MAT156유광,1,7700,price-sticker-price-l1.csv:R5,장당단가형(.01) ×주문수량
