qty,bw_single,bw_double,cmyk_single,cmyk_double
1.0,3500.0,5000.0,4500.0,7000.0
2.0,2500.0,2900.0,2800.0,4600.0
3.0,2000.0,2500.0,2500.0,4300.0
4.0,1800.0,2200.0,2000.0,3500.0
5.0,1200.0,2000.0,1700.0,3000.0
6.0,900.0,1900.0,1500.0,2600.0
7.0,800.0,1700.0,1300.0,2300.0
8.0,700.0,1500.0,1200.0,2100.0
9.0,600.0,1300.0,1100.0,1900.0
10.0,500.0,1200.0,1000.0,1600.0
15.0,610.0,1200.0,1200.0,2430.0
20.0,540.0,1080.0,1150.0,2300.0
25.0,470.0,950.0,1080.0,2200.0
30.0,410.0,810.0,1010.0,2030.0
35.0,380.0,760.0,950.0,1890.0
40.0,340.0,680.0,880.0,1760.0
45.0,340.0,680.0,810.0,1620.0
50.0,340.0,680.0,750.0,1490.0
60.0,270.0,540.0,680.0,1350.0
70.0,270.0,540.0,610.0,1200.0
80.0,270.0,540.0,540.0,1080.0
90.0,270.0,540.0,470.0,950.0
100.0,270.0,540.0,470.0,950.0
150.0,190.0,380.0,450.0,890.0
200.0,180.0,350.0,420.0,840.0
250.0,160.0,330.0,390.0,780.0
300.0,150.0,300.0,360.0,730.0
350.0,140.0,270.0,340.0,680.0
400.0,120.0,250.0,310.0,620.0
450.0,110.0,220.0,280.0,560.0
500.0,95.0,190.0,260.0,520.0
600.0,95.0,190.0,250.0,500.0
700.0,95.0,190.0,240.0,490.0
800.0,95.0,190.0,240.0,480.0
900.0,95.0,190.0,230.0,460.0
1000.0,95.0,190.0,220.0,450.0
1200.0,95.0,190.0,220.0,440.0
