verdict,deunggeup,clr,plt_grade,side,min_qty,auth_value,live_value,comp_cd,src_ref,comp_price_id
match,칼라(4도),칼라,3절,단면,1,4500,4500,COMP_PRINT_DIGITAL_S1,D64,38664
match,칼라(4도),칼라,3절,단면,2,2800,2800,COMP_PRINT_DIGITAL_S1,D65,38667
match,칼라(4도),칼라,3절,단면,3,2500,2500,COMP_PRINT_DIGITAL_S1,D66,38669
match,칼라(4도),칼라,3절,단면,4,2000,2000,COMP_PRINT_DIGITAL_S1,D67,38670
match,칼라(4도),칼라,3절,단면,5,1700,1700,COMP_PRINT_DIGITAL_S1,D68,38673
match,칼라(4도),칼라,3절,단면,6,1500,1500,COMP_PRINT_DIGITAL_S1,D69,38675
match,칼라(4도),칼라,3절,단면,7,1300,1300,COMP_PRINT_DIGITAL_S1,D70,38676
match,칼라(4도),칼라,3절,단면,8,1200,1200,COMP_PRINT_DIGITAL_S1,D71,38678
match,칼라(4도),칼라,3절,단면,9,1100,1100,COMP_PRINT_DIGITAL_S1,D72,38681
match,칼라(4도),칼라,3절,단면,10,1000,1000,COMP_PRINT_DIGITAL_S1,D73,38682
match,칼라(4도),칼라,3절,단면,15,1200,1200,COMP_PRINT_DIGITAL_S1,D74,38684
match,칼라(4도),칼라,3절,단면,20,1150,1150,COMP_PRINT_DIGITAL_S1,D75,38686
match,칼라(4도),칼라,3절,단면,25,1080,1080,COMP_PRINT_DIGITAL_S1,D76,38688
match,칼라(4도),칼라,3절,단면,30,1010,1010,COMP_PRINT_DIGITAL_S1,D77,38691
match,칼라(4도),칼라,3절,단면,35,950,950,COMP_PRINT_DIGITAL_S1,D78,38693
match,칼라(4도),칼라,3절,단면,40,880,880,COMP_PRINT_DIGITAL_S1,D79,38695
match,칼라(4도),칼라,3절,단면,45,810,810,COMP_PRINT_DIGITAL_S1,D80,38696
match,칼라(4도),칼라,3절,단면,50,750,750,COMP_PRINT_DIGITAL_S1,D81,38699
match,칼라(4도),칼라,3절,단면,60,680,680,COMP_PRINT_DIGITAL_S1,D82,38700
