=== 차원정합 진단 [전수]: 26건 ===
prd_cd	frm	comp	dim	verdict	conf	cnt	detail
PRD_000133	PRF_POSTER_CANVAS_HANGING	COMP_POSTER_CANVAS_HANGING	siz_cd	UNDECLARED	HIGH	3	use_dims미선언(silent가산/무시 위험)
PRD_000016	PRF_DGP_A	COMP_COAT_GLOSSY,COMP_COAT_MATTE,COMP_PP_CORNER_RIGHT,COMP_P	proc_cd	MISSING	REVIEW	2	PROC_000029;PROC_000030
PRD_000018	PRF_DGP_A	COMP_COAT_GLOSSY,COMP_COAT_MATTE,COMP_PP_CORNER_RIGHT,COMP_P	proc_cd	MISSING	REVIEW	2	PROC_000029;PROC_000030
PRD_000023	PRF_DGP_B	COMP_PRINT_DIGITAL_S1	proc_cd	MISSING	REVIEW	1	PROC_000123
PRD_000027	PRF_DGP_E_FOIL	COMP_COAT_GLOSSY,COMP_COAT_MATTE,COMP_CUT_PERF_1H6,COMP_FOIL	proc_cd	MISSING	REVIEW	4	PROC_000031;PROC_000032;PROC_000065;PROC_000066
PRD_000027	PRF_DGP_E	COMP_COAT_GLOSSY,COMP_COAT_MATTE,COMP_CUT_PERF_1H6,COMP_FOLD	proc_cd	MISSING	REVIEW	12	PROC_000031;PROC_000032;PROC_000037;PROC_000038;PROC_000039;PROC_000040;PROC_000041;PROC_000042;PROC_000043;PROC_000044;PROC_000065;PROC_000066
PRD_000029	PRF_DGP_E_FOIL	COMP_COAT_GLOSSY,COMP_COAT_MATTE,COMP_CUT_PERF_1H6,COMP_FOIL	proc_cd	MISSING	REVIEW	4	PROC_000031;PROC_000032;PROC_000067;PROC_000068
PRD_000029	PRF_DGP_E	COMP_COAT_GLOSSY,COMP_COAT_MATTE,COMP_CUT_PERF_1H6,COMP_FOLD	proc_cd	MISSING	REVIEW	12	PROC_000031;PROC_000032;PROC_000037;PROC_000038;PROC_000039;PROC_000040;PROC_000041;PROC_000042;PROC_000043;PROC_000044;PROC_000067;PROC_000068
PRD_000031	PRF_NAMECARD_PREMIUM_FOIL	COMP_FOIL_PROC_SMALL_SPECIAL,COMP_FOIL_PROC_SMALL_STD,COMP_F	proc_cd	MISSING	REVIEW	4	PROC_000027;PROC_000028;PROC_000031;PROC_000032
PRD_000034	PRF_NAMECARD_PEARL_FOIL	COMP_FOIL_PROC_SMALL_SPECIAL,COMP_FOIL_PROC_SMALL_STD,COMP_F	proc_cd	MISSING	REVIEW	2	PROC_000027;PROC_000028
PRD_000041	PRF_DGP_A	COMP_COAT_GLOSSY,COMP_COAT_MATTE,COMP_PP_CORNER_RIGHT,COMP_P	proc_cd	MISSING	REVIEW	2	PROC_000029;PROC_000030
PRD_000042	PRF_DGP_A_FOIL	COMP_COAT_GLOSSY,COMP_COAT_MATTE,COMP_FOIL_PROC_LARGE_SPECIA	proc_cd	MISSING	REVIEW	2	PROC_000029;PROC_000030
PRD_000042	PRF_DGP_A	COMP_COAT_GLOSSY,COMP_COAT_MATTE,COMP_PP_CORNER_RIGHT,COMP_P	proc_cd	MISSING	REVIEW	10	PROC_000029;PROC_000030;PROC_000037;PROC_000038;PROC_000039;PROC_000040;PROC_000041;PROC_000042;PROC_000043;PROC_000044
PRD_000068	PRF_BIND_SUM	COMP_BIND_JUNGCHEOL	proc_cd	MISSING	REVIEW	2	PROC_000014;PROC_000015
PRD_000069	PRF_BIND_MUSEON	COMP_BIND_MUSEON	proc_cd	MISSING	REVIEW	13	PROC_000014;PROC_000015;PROC_000037;PROC_000038;PROC_000039;PROC_000040;PROC_000041;PROC_000042;PROC_000043;PROC_000044;PROC_000051;PROC_000052;PROC_000076
PRD_000069	PRF_BIND_MUSEON_FOIL	COMP_BIND_MUSEON,COMP_FOIL_PROC_LARGE_SPECIAL,COMP_FOIL_PROC	proc_cd	MISSING	REVIEW	5	PROC_000014;PROC_000015;PROC_000051;PROC_000052;PROC_000076
PRD_000070	PRF_BIND_PUR	COMP_BIND_PUR	proc_cd	MISSING	REVIEW	13	PROC_000014;PROC_000015;PROC_000037;PROC_000038;PROC_000039;PROC_000040;PROC_000041;PROC_000042;PROC_000043;PROC_000044;PROC_000051;PROC_000052;PROC_000076
PRD_000070	PRF_BIND_PUR_FOIL	COMP_BIND_PUR,COMP_FOIL_PROC_LARGE_SPECIAL,COMP_FOIL_PROC_LA	proc_cd	MISSING	REVIEW	5	PROC_000014;PROC_000015;PROC_000051;PROC_000052;PROC_000076
