opt_nm,prod,cut,work_sheet,plate_cd,siz_cd,live_work,basis,pansu_auth,engine_pansu,decision
73 x 98 mm,엽서,73x98,75x100,SIZ_000499,SIZ_000001,75.00x100.00,OK,18,18,NOCHANGE
98 x 98 mm,엽서,98x98,100x100,SIZ_000499,SIZ_000002,100.00x100.00,OK,12,12,NOCHANGE
100 x 150 mm,엽서 / 엽서북내지,100x150,102x152,SIZ_000499,SIZ_000003,102.00x152.00,OK,8,9,LOAD(9->8)
135 x 135 mm,엽서 / 엽서북내지,135x135,137x137,SIZ_000499,SIZ_000004,137.00x137.00,OK,6,6,NOCHANGE
95 x 210 mm,엽서,95x210,97x212,SIZ_000499,SIZ_000005,97.00x212.00,OK,6,6,NOCHANGE
110 x 170 mm,엽서,110x170,112x172,SIZ_000499,SIZ_000006,112.00x172.00,OK,4,4,NOCHANGE
148 x 210 mm,엽서,148x210,150x212,SIZ_000499,SIZ_000007,150.00x212.00,OK,4,4,NOCHANGE
148 x 210 mm,엽서,148x210,150x212,SIZ_000499,SIZ_000426,148.00x210.00,MISMATCH,4,4,HOLD_BASIS
90 x 50 mm,명함,90x50,92x52,SIZ_000499,SIZ_000244,90.00x50.00,MISMATCH,24,30,HOLD_BASIS
90 x 50 mm,명함,90x50,92x52,SIZ_000499,SIZ_000008,92.00x52.00,OK,24,24,NOCHANGE
90 x 55 mm,명함,90x55,92x57,SIZ_000499,SIZ_000009,92.00x57.00,OK,21,24,LOAD(24->21)
86 x 52 mm,명함,86x55,88x57,SIZ_000499,SIZ_000010,88.00x57.00,OK,21,25,LOAD(25->21)
90 x 50 mm,모양명함,90x50,100x60,SIZ_000499,SIZ_000244,90.00x50.00,MISMATCH,18,30,HOLD_BASIS
90 x 50 mm,모양명함,90x50,100x60,SIZ_000499,SIZ_000008,92.00x52.00,MISMATCH,18,24,HOLD_BASIS
50 x 50 mm,"미니모양명함, 라벨택",50x50,60x60,SIZ_000499,SIZ_000220,50.00x50.00,MISMATCH,35,54,HOLD_BASIS
50 x 50 mm,"미니모양명함, 라벨택",50x50,60x60,SIZ_000499,SIZ_000508,50.00x50.00,MISMATCH,35,54,HOLD_BASIS
50 x 50 mm,"미니모양명함, 라벨택",50x50,60x60,SIZ_000499,SIZ_000011,60.00x60.00,OK,35,35,NOCHANGE
55 x 86 mm,포토카드,55x86,57x88,SIZ_000499,SIZ_000012,57.00x88.00,OK,21,25,LOAD(25->21)
148 x 68 mm,상품권,148x68,152x72,SIZ_000499,SIZ_000013,152.00x72.00,OK,12,12,NOCHANGE
148 x 75 mm,상품권,148x75,158x77,SIZ_000499,SIZ_000014,158.00x77.00,OK,6,6,NOCHANGE
300 x 100 mm,종이슬로건,300x100,302x102,SIZ_000499,SIZ_000015,302.00x102.00,OK,4,4,NOCHANGE
400 x 145 mm,종이슬로건,400x145,402x147,SIZ_000499,SIZ_000016,402.00x147.00,OK,2,2,NOCHANGE
50x90 mm - 2단세로접지,미니접지카드,100x90,102x92,SIZ_000499,SIZ_000017,102.00x92.00,OK,12,12,NOCHANGE
90x50 mm - 2단가로접지,미니접지카드,90x100,92x102,SIZ_000499,SIZ_000527,92.00x104.00,MISMATCH,12,12,HOLD_BASIS
90x50 mm - 2단가로접지,미니접지카드,90x100,92x102,SIZ_000499,SIZ_000018,92.00x102.00,OK,12,12,NOCHANGE
52x86 mm - 2단세로접지,미니접지카드,104x86,106x88,SIZ_000499,SIZ_000019,106.00x88.00,OK,12,12,NOCHANGE
85x52 mm - 2단가로접지,미니접지카드,86x104,88x106,SIZ_000499,SIZ_000020,88.00x106.00,OK,12,12,NOCHANGE
100x150 mm - 2단세로접지,2단접지카드,200x150,202x152,SIZ_000499,SIZ_000523,202.00x152.00,OK,4,4,NOCHANGE
100x150 mm - 2단세로접지,2단접지카드,200x150,202x152,SIZ_000499,SIZ_000021,202.00x152.00,OK,4,4,NOCHANGE
150x100 mm - 2단가로접지,2단접지카드,150x200,152x202,SIZ_000499,SIZ_000022,152.00x202.00,OK,4,4,NOCHANGE
135x135mm - 2단세로접지,2단접지카드,274x139,274 x 139,SIZ_000499,SIZ_000524,274.00x139.00,OK,3,3,NOCHANGE
135x135mm - 2단가로접지,2단접지카드,139x274,139 x 274,SIZ_000499,SIZ_000525,139.00x274.00,OK,3,3,NOCHANGE
