prd_cd	frm	comp	dim	verdict	conf	cnt	detail
PRD_000068	PRF_BIND_SUM	COMP_BIND_JUNGCHEOL	proc_cd	MISSING	REVIEW	2	PROC_000014;PROC_000015
PRD_000069	PRF_BIND_MUSEON	COMP_BIND_MUSEON	proc_cd	MISSING	REVIEW	13	PROC_000014;PROC_000015;PROC_000037;PROC_000038;PROC_000039;PROC_000040;PROC_000041;PROC_000042;PROC_000043;PROC_000044;PROC_000051;PROC_000052;PROC_000076
PRD_000069	PRF_BIND_MUSEON_FOIL	COMP_BIND_MUSEON,COMP_FOIL_PROC_LARGE_SPECIAL,COMP_FOIL_PROC	proc_cd	MISSING	REVIEW	5	PROC_000014;PROC_000015;PROC_000051;PROC_000052;PROC_000076
PRD_000070	PRF_BIND_PUR	COMP_BIND_PUR	proc_cd	MISSING	REVIEW	13	PROC_000014;PROC_000015;PROC_000037;PROC_000038;PROC_000039;PROC_000040;PROC_000041;PROC_000042;PROC_000043;PROC_000044;PROC_000051;PROC_000052;PROC_000076
PRD_000070	PRF_BIND_PUR_FOIL	COMP_BIND_PUR,COMP_FOIL_PROC_LARGE_SPECIAL,COMP_FOIL_PROC_LA	proc_cd	MISSING	REVIEW	5	PROC_000014;PROC_000015;PROC_000051;PROC_000052;PROC_000076
PRD_000071	PRF_BIND_TWINRING	COMP_BIND_TWINRING	proc_cd	MISSING	REVIEW	3	PROC_000014;PROC_000015;PROC_000076
# --- 진단가능성 분류 (공식바인딩 has_formula × Face C 옵션수단 has_facec) ---
# verdict 의미: DIAGNOSABLE=3자조인 가능 / NO-FORMULA=공식미바인딩(격자불성립) / NO-FACEC=옵션수단전멸(차원자체부재)
# prd_cd	role	has_formula	has_facec	dim_diag_verdict
PRD_000068	parent	Y	Y	DIAGNOSABLE
PRD_000069	parent	Y	Y	DIAGNOSABLE
PRD_000070	parent	Y	Y	DIAGNOSABLE
PRD_000071	parent	Y	Y	DIAGNOSABLE
PRD_000072	parent	Y	Y	DIAGNOSABLE
PRD_000073	member-cover	N	N	NO-FORMULA+NO-FACEC
PRD_000074	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000075	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000076	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000284	member-inner	Y	Y	DIAGNOSABLE
PRD_000077	parent	N	Y	NO-FORMULA
PRD_000078	member-cover	N	N	NO-FORMULA+NO-FACEC
PRD_000079	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000080	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000081	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000082	parent	N	Y	NO-FORMULA
PRD_000083	member-cover	N	N	NO-FORMULA+NO-FACEC
PRD_000084	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000085	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000086	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000087	member-inner-print	N	N	NO-FORMULA+NO-FACEC
PRD_000088	parent	N	Y	NO-FORMULA
PRD_000089	member-cover	N	N	NO-FORMULA+NO-FACEC
PRD_000090	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000091	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000092	member-myeonji	N	N	NO-FORMULA+NO-FACEC
PRD_000093	member-inner-print	N	N	NO-FORMULA+NO-FACEC
PRD_000094	parent	Y	Y	DIAGNOSABLE
PRD_000095	member-inner	N	N	NO-FORMULA+NO-FACEC
PRD_000096	member-cover	N	N	NO-FORMULA+NO-FACEC
PRD_000097	parent	Y	Y	DIAGNOSABLE
PRD_000098	member-inner	N	N	NO-FORMULA+NO-FACEC
PRD_000100	parent	Y	Y	DIAGNOSABLE
PRD_000101	member-inner	Y	N	NO-FACEC(공식만)
PRD_000102	member-cover	N	N	NO-FORMULA+NO-FACEC
PRD_000103	member-cover	N	N	NO-FORMULA+NO-FACEC
PRD_000105	member-cover	N	N	NO-FORMULA+NO-FACEC
PRD_000106	member-cover	N	N	NO-FORMULA+NO-FACEC
PRD_000107	member-cover	N	N	NO-FORMULA+NO-FACEC
PRD_000104	member-myeonji	N	N	NO-FORMULA+NO-FACEC
