prd_cd,상품명,권위band,dsc_tbl_cd,배정근거
PRD_000183,틴거울,굿즈상품 B타입,DSC_GOODSB_QTY,마스터명시
PRD_000184,컴팩트거울,굿즈상품 B타입,DSC_GOODSB_QTY,마스터명시
PRD_000185,카드거울,굿즈상품 B타입,DSC_GOODSB_QTY,마스터명시
PRD_000188,레더코스터,굿즈상품 A타입,DSC_GOODSA_QTY,마스터명시
PRD_000189,코르크코스터,굿즈상품 A타입,DSC_GOODSA_QTY,마스터명시
PRD_000190,우드코스터,굿즈상품 A타입,DSC_GOODSA_QTY,마스터명시
PRD_000191,린넨패브릭코스터,굿즈상품 A타입,DSC_GOODSA_QTY,마스터명시
PRD_000192,규조토코스터,굿즈상품 A타입,DSC_GOODSA_QTY,마스터명시
PRD_000193,머그컵,굿즈상품 B타입,DSC_GOODSB_QTY,마스터명시
PRD_000196,레더여권케이스,굿즈상품 A타입,DSC_GOODSA_QTY,마스터명시
PRD_000197,미니매트,굿즈상품 A타입,DSC_GOODSA_QTY,마스터명시
PRD_000205,양말,굿즈상품 B타입,DSC_GOODSB_QTY,마스터명시
PRD_000206,반팔티셔츠,굿즈상품 B타입,DSC_GOODSB_QTY,마스터명시
PRD_000209,후드티셔츠,굿즈상품 B타입,DSC_GOODSB_QTY,마스터명시
PRD_000210,초슬림마우스패드,굿즈상품 B타입,DSC_GOODSB_QTY,마스터명시
PRD_000211,장패드,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000212,극세사클리너,굿즈상품 B타입,DSC_GOODSB_QTY,마스터명시
PRD_000213,틴케이스,굿즈상품 B타입,DSC_GOODSB_QTY,마스터명시
PRD_000214,자석북마크,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000219,밴드톡,굿즈상품 A타입,DSC_GOODSA_QTY,마스터명시
PRD_000221,말랑키링,구간할인(말랑상품),DSC_SQUISHY_QTY,마스터명시
PRD_000223,말랑포카홀더,구간할인(말랑상품),DSC_SQUISHY_QTY,마스터명시
PRD_000224,말랑네임택,구간할인(말랑상품),DSC_SQUISHY_QTY,마스터명시
PRD_000225,말랑여권케이스,구간할인(말랑상품),DSC_SQUISHY_QTY,마스터명시
PRD_000234,레더 스트링 파우치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000235,레더 스트링 원형파우치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000236,레더 플랫 클러치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000237,레더 삼각 클러치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000241,캔버스 스트랩 라벨파우치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000242,광목 스트링 라벨파우치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000248,타이벡 플랫 클러치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000250,메쉬볼륨파우치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000251,레더 플랫 미니파우치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000253,레더 삼각 미니파우치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000255,레더 원형 미니파우치,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000256,레더 플랫 필통,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000257,레더 슬림 필통,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000258,레더 삼각 필통,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000259,레더 볼륨 필통,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000260,레더 원형 필통,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000261,캔버스 플랫 필통,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000262,캔버스 삼각 필통,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000263,레더토트백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000264,레더숄더백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000265,린넨 미니에코백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000266,린넨 토트백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000267,린넨 에코백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000268,캔버스심플백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000269,캔버스 포켓심플백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000270,캔버스에코백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000271,캔버스숄더백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000272,캔버스 포켓숄더백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000275,타이벡 보냉 미니백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000276,타이벡 에코백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000277,타이벡 보냉에코백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000278,메쉬 토트백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
PRD_000279,메쉬에코백,,DSC_FABRIC_QTY,fabric기본배정(가격표 파우치+에코백 전체·형제50 근거·인간승인260706)
