prd_cd,상품명,상품군,등급,축,근거
PRD_000203,LED투명키캡키링,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000203,LED투명키캡키링,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000136,PET배너,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000070,PUR책자,책자,L2+,자재,축 needed=Y이나 라이브 미적재
PRD_000242,광목 스트링 라벨파우치,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000242,광목 스트링 라벨파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000192,규조토코스터,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000192,규조토코스터,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000212,극세사클리너,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000212,극세사클리너,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000207,극세사타월,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000207,극세사타월,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000280,레더라벨제작,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000280,레더라벨제작,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000088,레더 링바인더,책자,L1,공정,축 needed=Y이나 라이브 미적재
PRD_000254,레더 볼륨 미니파우치,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000254,레더 볼륨 미니파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000233,레더 볼륨 파우치,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000233,레더 볼륨 파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000259,레더 볼륨 필통,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000253,레더 삼각 미니파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
