prd_cd,상품명,상품군,등급,자재코드,자재명,근거
PRD_000050,봉투제작,디지털인쇄,L2+,MAT_000169,레자크줄무늬백색 110g,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000147,아크릴마그넷,아크릴,L4,MAT_000050,네오디움 자석,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000154,아크릴 머리끈,아크릴,L4,MAT_000057,블랙헤어끈,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000152,아크릴명찰,아크릴,L4,MAT_000046,일자핀,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000152,아크릴명찰,아크릴,L4,MAT_000049,2구자석,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000148,아크릴뱃지,아크릴,L4,MAT_000047,원형핀,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000148,아크릴뱃지,아크릴,L4,MAT_000048,1구자석,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000150,아크릴스마트톡,아크릴,L4,MAT_000053,스마트톡 투명바디,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000150,아크릴스마트톡,아크릴,L4,MAT_000054,스마트톡 화이트바디,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000149,아크릴집게,아크릴,L4,MAT_000056,투명집게,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000099,앙상블 210g,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000101,랑데뷰 WH 240g,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000102,랑데뷰 WH 310g,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000108,몽블랑 210g,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000109,몽블랑 240g,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000113,아코팩,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000114,리사이클러스,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000115,매쉬멜로우,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000116,린넨커버,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000117,스타화이트,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000118,클래식 크래스트,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000119,리브스디자인 250g,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000123,띤또레또 200g,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000124,띤또레또 250g,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000125,한지,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
PRD_000031,프리미엄명함,디지털인쇄,L2+,MAT_000126,스코트랜드,자재 단가행(COMP_PAPER 등) 없음→선택 시 견적0
