prd_cd,상품명,상품군,등급,frm_cd,class,견적0원인
PRD_000203,LED투명키캡키링,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000242,광목 스트링 라벨파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(자재 결손)→견적 불가
PRD_000192,규조토코스터,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000207,극세사타월,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원·자재 둘 다 결손(공식 이전 단계))→견적 불가
PRD_000280,레더라벨제작,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(자재 결손)→견적 불가
PRD_000088,레더 링바인더,책자,L1,,DESIGNED_NOT_LOADED,§18 설계 있음·라이브 t_prc_* 미적재(민팅 대상)→견적 불가
PRD_000254,레더 볼륨 미니파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000233,레더 볼륨 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000232,레더 삼각 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000264,레더숄더백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000201,레더스트랩키링,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000234,레더 스트링 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000252,레더 슬림 미니파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000231,레더 슬림 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000238,레더 아이패드/노트북 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000255,레더 원형 미니파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000188,레더코스터,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000230,레더 플랫 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000077,레더 하드커버책자,책자,L1,,DESIGNED_NOT_LOADED,§18 설계 있음·라이브 t_prc_* 미적재(민팅 대상)→견적 불가
PRD_000243,린넨 스트링 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000267,린넨 에코백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000191,린넨패브릭코스터,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
(미등록),링바인더 (보류중),책자,L0,,기타미바인딩,가격공식 미바인딩(상품-공식 배선 없음)→견적 불가
PRD_000217,만년스탬프,굿즈파우치,L1,,DESIGNED_NOT_LOADED,§18 설계 있음·라이브 t_prc_* 미적재(민팅 대상)→견적 불가
PRD_000222,말랑증사홀더,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원·자재 둘 다 결손(공식 이전 단계))→견적 불가
PRD_000221,말랑키링,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000151,맥세이프 스마트톡,아크릴,L1,,LIVE_UNBOUND,설계됨≠적재됨(상품-공식 미바인딩)→견적 불가
PRD_000193,머그컵,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000250,메쉬볼륨파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000249,메쉬슬림파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000279,메쉬 에코백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
