prd_typ_cd,cod_nm,use_yn,live_count_active,set_role,note
PRD_TYPE.01,완제품,Y,33,셋트완제품후보(단일제조상품·그자체는셋트아님),라이브셋트완제품7개는전부TYPE.04라TYPE.01중셋트0
PRD_TYPE.02,반제품,Y,29,구성원(sub_prd_cd),webadmin admin.py:1090 autocomplete=PRD_TYPE.02만노출·라이브셋트구성원28행전부TYPE.02
PRD_TYPE.03,기성상품,Y,108,제외(제조불필요),셋트대상아님
PRD_TYPE.04,디자인상품,N(코드use_yn=N),105,제외(directive)지만★라이브셋트완제품7개전부TYPE.04,CONFIRM-1: webadmin주석(admin.py:1095-1099)=기존셋트가디자인상품에존재→반제품만제외정책. directive제외규칙과충돌
PRD_TYPE.05,추가상품,N(코드use_yn=N),0,제외,addon템플릿트랙(TYPE.05)·셋트구성원아님
# --- 068~071 책자 셋트 미구성 4종 (2026-06-29 라이브 실측·prd_cd 단위·컬럼=prd_cd,prd_nm,prd_typ_cd,분류,셋트역할,note) ---
PRD_000068,중철책자,PRD_TYPE.01,완제품,셋트완제품후보(미구성),use_yn=Y·del_yn=N·t_prd_product_sets 0행·바인딩 PRF_BIND_SUM(제본비만 1비목)
PRD_000069,무선책자,PRD_TYPE.01,완제품,셋트완제품후보(미구성),바인딩 PRF_BIND_MUSEON(제본비만)·구성원0
PRD_000070,PUR책자,PRD_TYPE.01,완제품,셋트완제품후보(미구성),바인딩 PRF_BIND_PUR(제본비만)·구성원0
PRD_000071,트윈링책자,PRD_TYPE.01,완제품,셋트완제품후보(미구성),바인딩 PRF_BIND_TWINRING(제본비만)·표지×2공식·구성원0
PRD_(mint),중철책자-표지,PRD_TYPE.02,반제품,구성원(표지·SEMI_ROLE.02),미존재·mint필요(BLOCKED·dbmap·CONFIRM-8)·가격0(부모공식)
PRD_(mint),중철책자-내지,PRD_TYPE.02,반제품,구성원(내지·SEMI_ROLE.01),미존재·mint필요·page파생공식(PRF_DGP_INNER동형)
PRD_(mint),무선책자-표지,PRD_TYPE.02,반제품,구성원(표지),미존재·mint필요
PRD_(mint),무선책자-내지,PRD_TYPE.02,반제품,구성원(내지),미존재·mint필요
PRD_(mint),PUR책자-표지,PRD_TYPE.02,반제품,구성원(표지),미존재·mint필요
PRD_(mint),PUR책자-내지,PRD_TYPE.02,반제품,구성원(내지),미존재·mint필요
PRD_(mint),트윈링책자-표지,PRD_TYPE.02,반제품,구성원(표지),미존재·mint필요·표지×2(부모공식반영)
PRD_(mint),트윈링책자-내지,PRD_TYPE.02,반제품,구성원(내지),미존재·mint필요
