comp_cd,proc_cd,plt_siz_cd,coat_side_cnt,min_qty,unit_price,source,load_status
COMP_BIND_HC_MUSEON,PROC_000023,,,1,30000,라이브 verbatim·가격표 B02 하드커버무선,EXISTS_NO_INSERT
COMP_BIND_HC_MUSEON,PROC_000023,,,4,20000,라이브 verbatim,EXISTS_NO_INSERT
COMP_BIND_HC_MUSEON,PROC_000023,,,10,14000,라이브 verbatim,EXISTS_NO_INSERT
COMP_BIND_HC_MUSEON,PROC_000023,,,50,9000,라이브 verbatim,EXISTS_NO_INSERT
COMP_BIND_HC_MUSEON,PROC_000023,,,100,7000,라이브 verbatim,EXISTS_NO_INSERT
COMP_BIND_HC_MUSEON,PROC_000023,,,1000,6000,라이브 verbatim,EXISTS_NO_INSERT
COMP_PRINT_DIGITAL_S1,PROC_000004,SIZ_000077,,1,3500,라이브 verbatim 샘플(212행 전수 실재),EXISTS_NO_INSERT
COMP_PRINT_DIGITAL_S1,PROC_000004,SIZ_000077,,8,700,라이브 verbatim 샘플,EXISTS_NO_INSERT
COMP_COAT_MATTE,PROC_000015,SIZ_000077,1,1,3000,라이브 verbatim 샘플(92행 무광),EXISTS_NO_INSERT
COMP_COAT_MATTE,PROC_000015,SIZ_000077,1,20,1200,라이브 verbatim 샘플,EXISTS_NO_INSERT
