set_prd_cd,set_nm,mat_cd,mat_nm,mat_typ_cd,mat_del,usage_cd,usage_nm,dflt_yn,wiring_status
PRD_000072,하드커버책자,MAT_000246,전용지,MAT_TYPE.01,Y,USAGE.02,표지,Y,FK_DEAD(삭제된 자재 참조)
PRD_000072,하드커버책자,MAT_000002,블랙면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000072,하드커버책자,MAT_000003,그레이면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000072,하드커버책자,MAT_000001,화이트면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000077,레더 하드커버책자,MAT_000002,블랙면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000077,레더 하드커버책자,MAT_000003,그레이면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000077,레더 하드커버책자,MAT_000001,화이트면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000077,레더 하드커버책자,MAT_000186,레더(화이트),MAT_TYPE.05,N,USAGE.02,표지,Y,OK
PRD_000082,하드커버 링책자,MAT_000246,전용지,MAT_TYPE.01,Y,USAGE.02,표지,Y,FK_DEAD(삭제된 자재 참조)
PRD_000082,하드커버 링책자,MAT_000002,블랙면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000082,하드커버 링책자,MAT_000004,인쇄면지,MAT_TYPE.01,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000082,하드커버 링책자,MAT_000003,그레이면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000082,하드커버 링책자,MAT_000001,화이트면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000082,하드커버 링책자,MAT_000015,링 메탈링,MAT_TYPE.04,N,USAGE.07,공통,Y,OK
PRD_000082,하드커버 링책자,MAT_000014,링 블랙링,MAT_TYPE.04,N,USAGE.07,공통,Y,OK
PRD_000082,하드커버 링책자,MAT_000013,링 화이트링,MAT_TYPE.04,N,USAGE.07,공통,Y,OK
PRD_000088,레더 링바인더,MAT_000002,블랙면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000088,레더 링바인더,MAT_000004,인쇄면지,MAT_TYPE.01,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000088,레더 링바인더,MAT_000003,그레이면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000088,레더 링바인더,MAT_000001,화이트면지,MAT_TYPE.02,N,USAGE.03,면지,Y,POLLUTED_REF(면지=옵션을 자재로 참조)
PRD_000088,레더 링바인더,MAT_000186,레더(화이트),MAT_TYPE.05,N,USAGE.02,표지,Y,OK
PRD_000088,레더 링바인더,MAT_000249,D링(56mm),MAT_TYPE.02,N,USAGE.07,공통,Y,OK
PRD_000088,레더 링바인더,MAT_000247,D링 D링(31mm),MAT_TYPE.07,N,USAGE.07,공통,Y,OK
PRD_000088,레더 링바인더,MAT_000248,D링 D링(42mm),MAT_TYPE.07,N,USAGE.07,공통,Y,OK
PRD_000094,엽서북,MAT_000109,몽블랑 240g,MAT_TYPE.01,N,USAGE.01,내지,Y,OK
PRD_000094,엽서북,MAT_000092,스노우지 300g,MAT_TYPE.01,N,USAGE.02,표지,Y,OK
PRD_000097,떡메모지,MAT_000073,백색모조지 120g,MAT_TYPE.01,N,USAGE.01,내지,Y,OK
PRD_000100,포토북 [디자인명],MAT_000251,그레이,MAT_TYPE.01,Y,USAGE.03,면지,Y,FK_DEAD(삭제된 자재 참조)
PRD_000100,포토북 [디자인명],MAT_000005,하드커버,MAT_TYPE.01,Y,USAGE.02,표지,Y,FK_DEAD(삭제된 자재 참조)
PRD_000100,포토북 [디자인명],MAT_000007,소프트커버,MAT_TYPE.01,Y,USAGE.02,표지,Y,FK_DEAD(삭제된 자재 참조)
PRD_000100,포토북 [디자인명],MAT_000006,레더하드커버,MAT_TYPE.06,Y,USAGE.02,표지,Y,FK_DEAD(삭제된 자재 참조)
PRD_000100,포토북 [디자인명],MAT_000186,레더(화이트),MAT_TYPE.05,N,USAGE.02,표지,Y,OK
PRD_000100,포토북 [디자인명],MAT_000105,몽블랑 130g,MAT_TYPE.01,N,USAGE.01,내지,Y,OK
PRD_000100,포토북 [디자인명],MAT_000250,아트250+무광코팅,MAT_TYPE.01,N,USAGE.02,표지,Y,OK
