prd_cd,opt_cd,opt_grp_cd,opt_nm,dflt_yn,disp_seq,use_yn,del_yn
PRD_000072,OPV_000434,OPT_000064,화이트,Y,1,Y,N
PRD_000072,OPV_000435,OPT_000064,블랙,N,2,Y,N
PRD_000072,OPV_000436,OPT_000064,그레이,N,3,Y,N
PRD_000077,OPV_000437,OPT_000065,화이트,Y,1,Y,N
PRD_000077,OPV_000438,OPT_000065,블랙,N,2,Y,N
PRD_000077,OPV_000439,OPT_000065,그레이,N,3,Y,N
PRD_000082,OPV_000440,OPT_000066,화이트,Y,1,Y,N
PRD_000082,OPV_000441,OPT_000066,블랙,N,2,Y,N
PRD_000082,OPV_000442,OPT_000066,그레이,N,3,Y,N
PRD_000082,OPV_000443,OPT_000066,인쇄,N,4,Y,N
PRD_000088,OPV_000444,OPT_000067,화이트,Y,1,Y,N
PRD_000088,OPV_000445,OPT_000067,블랙,N,2,Y,N
PRD_000088,OPV_000446,OPT_000067,그레이,N,3,Y,N
PRD_000088,OPV_000447,OPT_000067,인쇄,N,4,Y,N
PRD_000140,OPV_000448,OPT_000068,화이트,Y,1,Y,N
PRD_000140,OPV_000449,OPT_000068,블랙,N,2,Y,N
PRD_000142,OPV_000450,OPT_000069,화이트,Y,1,Y,N
PRD_000142,OPV_000451,OPT_000069,블랙,N,2,Y,N
PRD_000197,OPV_000452,OPT_000070,화이트,Y,1,Y,N
PRD_000197,OPV_000453,OPT_000070,블랙,N,2,Y,N
PRD_000198,OPV_000454,OPT_000071,화이트,Y,1,Y,N
PRD_000198,OPV_000455,OPT_000071,블랙,N,2,Y,N
PRD_000217,OPV_000456,OPT_000072,청보라,Y,1,Y,N
PRD_000217,OPV_000457,OPT_000072,빨강,N,2,Y,N
PRD_000217,OPV_000458,OPT_000072,검정,N,3,Y,N
PRD_000217,OPV_000459,OPT_000072,파랑,N,4,Y,N
PRD_000217,OPV_000460,OPT_000072,초록,N,5,Y,N
PRD_000217,OPV_000461,OPT_000072,핑크,N,6,Y,N
PRD_000217,OPV_000462,OPT_000072,노랑,N,7,Y,N
