prd_cd,opt_cd,item_seq,ref_dim_cd,ref_key1,ref_key2,qty,use_yn,del_yn
PRD_000072,OPV_000434,1,OPT_REF_DIM.03,MAT_000001,USAGE.03,1,Y,N
PRD_000072,OPV_000435,1,OPT_REF_DIM.03,MAT_000002,USAGE.03,1,Y,N
PRD_000072,OPV_000436,1,OPT_REF_DIM.03,MAT_000003,USAGE.03,1,Y,N
PRD_000077,OPV_000437,1,OPT_REF_DIM.03,MAT_000001,USAGE.03,1,Y,N
PRD_000077,OPV_000438,1,OPT_REF_DIM.03,MAT_000002,USAGE.03,1,Y,N
PRD_000077,OPV_000439,1,OPT_REF_DIM.03,MAT_000003,USAGE.03,1,Y,N
PRD_000082,OPV_000440,1,OPT_REF_DIM.03,MAT_000001,USAGE.03,1,Y,N
PRD_000082,OPV_000441,1,OPT_REF_DIM.03,MAT_000002,USAGE.03,1,Y,N
PRD_000082,OPV_000442,1,OPT_REF_DIM.03,MAT_000003,USAGE.03,1,Y,N
PRD_000082,OPV_000443,1,OPT_REF_DIM.03,MAT_000004,USAGE.03,1,Y,N
PRD_000088,OPV_000444,1,OPT_REF_DIM.03,MAT_000001,USAGE.03,1,Y,N
PRD_000088,OPV_000445,1,OPT_REF_DIM.03,MAT_000002,USAGE.03,1,Y,N
PRD_000088,OPV_000446,1,OPT_REF_DIM.03,MAT_000003,USAGE.03,1,Y,N
PRD_000088,OPV_000447,1,OPT_REF_DIM.03,MAT_000004,USAGE.03,1,Y,N
PRD_000193,OPV_000448,1,OPT_REF_DIM.03,MAT_000143,USAGE.07,1,Y,N
PRD_000193,OPV_000449,1,OPT_REF_DIM.03,MAT_000146,USAGE.07,1,Y,N
PRD_000140,OPV_000450,1,OPT_REF_DIM.03,MAT_000255,USAGE.07,1,Y,N
PRD_000140,OPV_000451,1,OPT_REF_DIM.03,MAT_000256,USAGE.07,1,Y,N
PRD_000142,OPV_000452,1,OPT_REF_DIM.03,MAT_000255,USAGE.07,1,Y,N
PRD_000142,OPV_000453,1,OPT_REF_DIM.03,MAT_000256,USAGE.07,1,Y,N
PRD_000197,OPV_000454,1,OPT_REF_DIM.03,MAT_000255,USAGE.07,1,Y,N
PRD_000197,OPV_000455,1,OPT_REF_DIM.03,MAT_000256,USAGE.07,1,Y,N
PRD_000198,OPV_000456,1,OPT_REF_DIM.03,MAT_000255,USAGE.07,1,Y,N
PRD_000198,OPV_000457,1,OPT_REF_DIM.03,MAT_000256,USAGE.07,1,Y,N
PRD_000217,OPV_000458,1,OPT_REF_DIM.03,MAT_000297,USAGE.07,1,Y,N
PRD_000217,OPV_000459,1,OPT_REF_DIM.03,MAT_000298,USAGE.07,1,Y,N
PRD_000217,OPV_000460,1,OPT_REF_DIM.03,MAT_000299,USAGE.07,1,Y,N
PRD_000217,OPV_000461,1,OPT_REF_DIM.03,MAT_000300,USAGE.07,1,Y,N
PRD_000217,OPV_000462,1,OPT_REF_DIM.03,MAT_000301,USAGE.07,1,Y,N
PRD_000217,OPV_000463,1,OPT_REF_DIM.03,MAT_000302,USAGE.07,1,Y,N
PRD_000217,OPV_000464,1,OPT_REF_DIM.03,MAT_000303,USAGE.07,1,Y,N
