comp_price_id,mat_cd,mat_nm,del_yn_mat,comp_cd,formula_using,prc_typ_cd,siz_cd,siz_nm,plt_siz_cd,min_qty,unit_price,use_dims,is_dup_of_active_canonical,note
5438,MAT_000119,리브스디자인 250g,Y,COMP_PAPER,PRF_DGP_A/B/C/D/E/F,PRICE_TYPE.01,,,SIZ_000499(316x467),1,500.00,"[plt_siz_cd,mat_cd]",NO(unique design paper; 073=36.88 다른값),용지비 종이별 절가 - 119 고유행(중복아님 분할)
1713,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000191,225x193,,1000,96000.00,"[siz_cd,mat_cd,min_qty]",NO(073 carries 0 env rows),봉투제작 완제품가 - 159만 보유(중복아님)
1721,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000191,225x193,,2000,192000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1729,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000191,225x193,,3000,288000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1737,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000191,225x193,,4000,384000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1745,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000191,225x193,,5000,480000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1715,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000192,238x262,,1000,48000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1723,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000192,238x262,,2000,96000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1731,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000192,238x262,,3000,144000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1739,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000192,238x262,,4000,192000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1747,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000192,238x262,,5000,240000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1717,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000193,262x238,,1000,48000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1725,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000193,262x238,,2000,96000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1733,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000193,262x238,,3000,144000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1741,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000193,262x238,,4000,192000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1749,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000193,262x238,,5000,240000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1719,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000194,510x387,,1000,134000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1727,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000194,510x387,,2000,272000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1735,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000194,510x387,,3000,400000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1743,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000194,510x387,,4000,536000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
1751,MAT_000159,모조 120g,Y,COMP_ENV_MAKING,PRF_ENV_MAKING,PRICE_TYPE.01,SIZ_000194,510x387,,5000,672000.00,"[siz_cd,mat_cd,min_qty]",NO,봉투제작 완제품가
