옵션그룹	상품코드	상품명	옵션코드	옵션명	해소차원
가공	PRD_000045	인쇄헤더택	OPV_000985	접지형	PROC_000090
가공	PRD_000045	인쇄헤더택	OPV_000986	접지타공형	PROC_000126,PROC_000090
가공	PRD_000110	엽서캘린더	OPV_001040	재단만	-
가공	PRD_000110	엽서캘린더	OPV_001041	1구타공	-
가공	PRD_000111	벽걸이캘린더	OPV_000970	재단만	-
가공	PRD_000111	벽걸이캘린더	OPV_000971	2구타공+면끈	PROC_000127
가공	PRD_000125	캔버스패브릭포스터	OPV_000520	오버로크	PROC_000080
가공	PRD_000125	캔버스패브릭포스터	OPV_000831	오버로크+리본끈	PROC_000080
가공	PRD_000135	족자포스터	OPV_000958	사각족자	MAT_000401
가공	PRD_000135	족자포스터	OPV_000959	원형족자	MAT_000400
가공	PRD_000138	일반현수막	OPV_000007	아일렛(4구)	-
가공	PRD_000138	일반현수막	OPV_000008	아일렛(6구)	-
가공	PRD_000138	일반현수막	OPV_000009	아일렛(8구)	-
가공	PRD_000139	메쉬현수막	OPV_001000	재단만	-
가공	PRD_000139	메쉬현수막	OPV_001001	아일렛(4구)	-
가공	PRD_000139	메쉬현수막	OPV_001002	아일렛(6구)	-
가공	PRD_000139	메쉬현수막	OPV_001003	아일렛(8구)	-
가공	PRD_000149	아크릴집게	OPV_001024	투명집게(자석형)	MAT_000425
가공	PRD_000153	아크릴명찰(골드실버)	OPV_001027	일자핀	MAT_000421
가공	PRD_000153	아크릴명찰(골드실버)	OPV_001028	2구자석	MAT_000423
내지	PRD_000179	메모패드	OPV_001043	무지내지(40장)	-
마감	PRD_000133	캔버스 행잉포스터	OPV_000522	오버로크	PROC_000080
마감	PRD_000134	린넨우드봉족자	OPV_000526	오버로크+봉미싱(4cm)	PROC_000130
바디	PRD_000202	키캡키링	OPV_001007	화이트바디	-
바디	PRD_000203	LED투명키캡키링	OPV_000685	LED스위치+투명바디	-
소재	PRD_000123	아트패브릭포스터	OPV_000826	그래픽천	MAT_000181
인쇄	PRD_000042	프리미엄 쿠폰/상품권	OPV_000207	단면	1
인쇄	PRD_000042	프리미엄 쿠폰/상품권	OPV_000208	양면	2
인쇄	PRD_000226	아크릴쉐이커코롯토	OPV_001032	전면인쇄	-
인쇄	PRD_000226	아크릴쉐이커코롯토	OPV_001033	배면인쇄	-
인쇄	PRD_000226	아크릴쉐이커코롯토	OPV_001034	양면인쇄	-
인쇄	PRD_000228	이미지피켓(소형)	OPV_000935	양면	-
인쇄	PRD_000229	이미지피켓	OPV_000695	양면	-
커팅	PRD_000035	모양명함	OPV_000912	한쪽라운딩	-
커팅	PRD_000035	모양명함	OPV_000913	나뭇잎	-
커팅	PRD_000035	모양명함	OPV_000914	큰라운딩	-
커팅	PRD_000035	모양명함	OPV_000915	클래식	-
커팅	PRD_000036	미니모양명함	OPV_000916	사각라운딩	-
커팅	PRD_000036	미니모양명함	OPV_000917	물방울	-
커팅	PRD_000036	미니모양명함	OPV_000918	원형	-
커팅	PRD_000052	반칼 자유형 스티커	OPV_000509	반칼(자유형)	PROC_000054
커팅	PRD_000053	반칼 자유형 투명스티커	OPV_000519	반칼(자유형)	PROC_000122
커팅	PRD_000054	반칼 자유형 홀로그램스티커	OPV_000772	반칼(자유형)	PROC_000122
커팅	PRD_000055	낱장 자유형 스티커	OPV_000525	완칼(자유형)	PROC_000053
커팅	PRD_000056	낱장 자유형 투명스티커	OPV_000775	완칼(자유형)	PROC_000053
커팅	PRD_000057	대형 자유형 스티커	OPV_000845	완칼커팅(자유형)	PROC_000123
커팅	PRD_000058	반칼원형스티커	OPV-000066	원형 25mm (24ea)	-
커팅	PRD_000058	반칼원형스티커	OPV-000067	원형 30mm (20ea)	-
커팅	PRD_000058	반칼원형스티커	OPV-000068	원형 35mm (15ea)	-
커팅	PRD_000058	반칼원형스티커	OPV-000069	원형 40mm (12ea)	-
커팅	PRD_000058	반칼원형스티커	OPV-000070	원형 45mm (8ea)	-
커팅	PRD_000058	반칼원형스티커	OPV-000071	원형 50mm (6ea)	-
커팅	PRD_000058	반칼원형스티커	OPV-000072	원형 55mm (6ea)	-
커팅	PRD_000058	반칼원형스티커	OPV-000073	원형 60mm (6ea)	-
커팅	PRD_000059	반칼정사각스티커	OPV_000645	30x30mm (20ea)	PROC_000122
커팅	PRD_000059	반칼정사각스티커	OPV_000853	40x40mm (12ea)	-
