tmpl_cd,tmpl_nm,base_prd_cd,base_nm,base_state,combo_yn,base_formula,live_price,price_rows,addon_links,auth_price,auth_row,match,verdict,flags
TMPL-000005,OPP접착봉투 110x160 mm  50장,PRD_000001,OPP접착봉투,LIVE,N,Y,1200.0,1,4,1200.0,10,exact,OK,
TMPL-000006,OPP비접착봉투 110x160 mm 50장,PRD_000002,OPP비접착봉투,LIVE,N,Y,1200.0,1,5,1200.0,19,exact,OK,
TMPL-000009,트레싱지봉투 160x110 mm 20장,PRD_000283,트레싱지봉투,LIVE,N,Y,6000.0,1,3,6000.0,25,fuzzy,OK,
TMPL-000010,카드봉투(화이트) 165x115 mm 50장,PRD_000281,카드봉투(화이트),DEAD,N,N,,0,0,,,,DEFECT,P1 가격경로없음; P4 baseDEAD; P5 고아
TMPL-000011,카드봉투(블랙) 165x115 mm 50장,PRD_000282,카드봉투(블랙),DEAD,N,N,,0,0,,,,DEFECT,P1 가격경로없음; P4 baseDEAD; P5 고아
TMPL-000012,OPP비접착봉투 60x90 mm 20장,PRD_000002,OPP비접착봉투,LIVE,N,Y,600.0,1,2,600.0,14,exact,OK,
TMPL-000029,OPP접착봉투 130x200 mm 50장,PRD_000001,OPP접착봉투,LIVE,N,Y,1400.0,1,1,1400.0,11,exact,OK,
TMPL-000030,OPP비접착봉투 60x90 mm 50장,PRD_000002,OPP비접착봉투,LIVE,N,Y,900.0,1,2,900.0,15,exact,OK,
TMPL-000031,트레싱지봉투 160x110 mm 40장,PRD_000283,트레싱지봉투,LIVE,N,Y,12000.0,1,0,12000.0,26,fuzzy,OK-주의,P5 고아
TMPL-000032,트레싱지봉투 160x110 mm 100장,PRD_000283,트레싱지봉투,LIVE,N,Y,28000.0,1,2,28000.0,27,fuzzy,OK,
TMPL-000033,트레싱지봉투 70x100 mm 30장,PRD_000283,트레싱지봉투,LIVE,N,Y,3600.0,1,1,3600.0,31,fuzzy,OK,
TMPL-000034,트레싱지봉투 70x100 mm 100장,PRD_000283,트레싱지봉투,LIVE,N,Y,10000.0,1,1,10000.0,32,fuzzy,OK,
TMPL-000035,트레싱지봉투 100x100 mm 20장,PRD_000283,트레싱지봉투,LIVE,N,Y,6800.0,1,0,6800.0,28,fuzzy,OK-주의,P5 고아
TMPL-000036,트레싱지봉투 100x100 mm 40장,PRD_000283,트레싱지봉투,LIVE,N,Y,13600.0,1,0,13600.0,29,fuzzy,OK-주의,P5 고아
TMPL-000037,트레싱지봉투 100x100 mm 100장,PRD_000283,트레싱지봉투,LIVE,N,Y,32000.0,1,0,32000.0,30,fuzzy,OK-주의,P5 고아
TMPL-000038,카드봉투 (화이트) 165x115mm 10장,PRD_000004,카드봉투,LIVE,N,Y,1000.0,1,5,1000.0,33,exact,OK,
