prd_cd,prd_nm,frm_cd,comp_cd,comp_nm,요구축,위젯축,미충족축
PRD_000004,카드봉투,PRF_ACC_ENV_CLR_BDL,COMP_ACC_ENV_CLR_BDL,카드봉투 완제품가(칼라×묶음수),"bdl_qty,min_qty,opt_cd","OPT-000012,bdl_qty,qty,siz_cd",opt_cd
PRD_000013,우드봉,PRF_ACC_WOOD_SIZ,COMP_ACC_WOOD_SIZ,우드봉·행거 완제품가(길이),"mat_cd,min_qty,siz_cd","OPT_000292,qty,siz_cd",mat_cd
PRD_000014,우드행거,PRF_ACC_WOOD_SIZ,COMP_ACC_WOOD_SIZ,우드봉·행거 완제품가(길이),"mat_cd,min_qty,siz_cd","OPT_000293,qty,siz_cd",mat_cd
PRD_000016,프리미엄엽서,PRF_DGP_A,COMP_PRINT_DIGITAL_S1,디지털인쇄비,"min_qty,plt_siz_cd,print_opt_cd,proc_cd","mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000016,프리미엄엽서,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,"min_qty,plt_siz_cd,proc_cd,spot_side_cnt","mat_cd,print_opt_cd,qty,siz_cd","proc_cd,spot_side_cnt"
PRD_000016,프리미엄엽서,PRF_DGP_A,COMP_PP_CORNER_RIGHT,귀돌이비,"min_qty,proc_cd","mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000016,프리미엄엽서,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,"min_qty,proc_cd","mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000016,프리미엄엽서,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,"min_qty,proc_cd","mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000016,프리미엄엽서,PRF_DGP_A,COMP_PP_VARTEXT_1EA,가변텍스트,"min_qty,proc_cd","mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000016,프리미엄엽서,PRF_DGP_A,COMP_PP_VARIMG_1EA,가변이미지,"min_qty,proc_cd","mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000016,프리미엄엽서,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,"coat_side_cnt,min_qty,plt_siz_cd,proc_cd","mat_cd,print_opt_cd,qty,siz_cd","coat_side_cnt,proc_cd"
PRD_000016,프리미엄엽서,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,"coat_side_cnt,min_qty,plt_siz_cd,proc_cd","mat_cd,print_opt_cd,qty,siz_cd","coat_side_cnt,proc_cd"
PRD_000017,코팅엽서,PRF_DGP_A,COMP_PRINT_DIGITAL_S1,디지털인쇄비,"min_qty,plt_siz_cd,print_opt_cd,proc_cd","OPT_000011,mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000017,코팅엽서,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,"min_qty,plt_siz_cd,proc_cd,spot_side_cnt","OPT_000011,mat_cd,print_opt_cd,qty,siz_cd","proc_cd,spot_side_cnt"
PRD_000017,코팅엽서,PRF_DGP_A,COMP_PP_CORNER_RIGHT,귀돌이비,"min_qty,proc_cd","OPT_000011,mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000017,코팅엽서,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,"min_qty,proc_cd","OPT_000011,mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000017,코팅엽서,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,"min_qty,proc_cd","OPT_000011,mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000017,코팅엽서,PRF_DGP_A,COMP_PP_VARTEXT_1EA,가변텍스트,"min_qty,proc_cd","OPT_000011,mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000017,코팅엽서,PRF_DGP_A,COMP_PP_VARIMG_1EA,가변이미지,"min_qty,proc_cd","OPT_000011,mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000017,코팅엽서,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,"coat_side_cnt,min_qty,plt_siz_cd,proc_cd","OPT_000011,mat_cd,print_opt_cd,qty,siz_cd","coat_side_cnt,proc_cd"
PRD_000017,코팅엽서,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,"coat_side_cnt,min_qty,plt_siz_cd,proc_cd","OPT_000011,mat_cd,print_opt_cd,qty,siz_cd","coat_side_cnt,proc_cd"
PRD_000018,스탠다드엽서,PRF_DGP_A,COMP_PRINT_DIGITAL_S1,디지털인쇄비,"min_qty,plt_siz_cd,print_opt_cd,proc_cd","mat_cd,print_opt_cd,qty,siz_cd",proc_cd
PRD_000018,스탠다드엽서,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,"min_qty,plt_siz_cd,proc_cd,spot_side_cnt","mat_cd,print_opt_cd,qty,siz_cd","proc_cd,spot_side_cnt"
