prd_cd,prd_nm,axis1_구성요소존재,axis1_근거,axis2_가격배선,axis2_본품,axis2_중복구성요소,axis2_disp_seq,axis2_고아,axis2_고아_배선단위,axis2_고아_고객단위,axis2_근거,axis3_값정합,axis3_근거,axis4_위젯가격산출,axis4_근거,종단판정,종단_성격,잔여
PRD_000118,아트프린트포스터,PASS,구성요소 1 · 단가행 보유 1,PASS,PASS,PASS,PASS,PASS,0,0,본품 PASS · 중복구성요소 PASS · disp_seq PASS · 고아 PASS,PASS,일치 52건 + 후보일치 0건,PASS,5조합 전건 supply 산출,PASS,결합추론(축③ DB↔권위 ∧ 축④ 위젯↔산출),
PRD_000119,아트페이퍼포스터,PASS,구성요소 1 · 단가행 보유 1,PASS,PASS,PASS,PASS,PASS,0,0,본품 PASS · 중복구성요소 PASS · disp_seq PASS · 고아 PASS,PASS,일치 39건 + 후보일치 0건,PASS,5조합 전건 supply 산출,PASS,결합추론(축③ DB↔권위 ∧ 축④ 위젯↔산출),
PRD_000120,방수포스터,PASS,구성요소 1 · 단가행 보유 1,PASS,PASS,PASS,PASS,PASS,0,0,본품 PASS · 중복구성요소 PASS · disp_seq PASS · 고아 PASS,PASS,일치 104건 + 후보일치 0건,PASS,5조합 전건 supply 산출,PASS,결합추론(축③ DB↔권위 ∧ 축④ 위젯↔산출),
PRD_000121,접착방수포스터,PASS,구성요소 1 · 단가행 보유 1,PASS,PASS,PASS,PASS,PASS,0,0,본품 PASS · 중복구성요소 PASS · disp_seq PASS · 고아 PASS,PASS,일치 52건 + 후보일치 0건,PASS,5조합 전건 supply 산출,PASS,결합추론(축③ DB↔권위 ∧ 축④ 위젯↔산출),
PRD_000122,접착투명포스터,PASS,구성요소 1 · 단가행 보유 1,PASS,PASS,PASS,PASS,PASS,0,0,본품 PASS · 중복구성요소 PASS · disp_seq PASS · 고아 PASS,PASS,일치 52건 + 후보일치 0건,PASS,5조합 전건 supply 산출,PASS,결합추론(축③ DB↔권위 ∧ 축④ 위젯↔산출),
PRD_000123,아트패브릭포스터,PASS,구성요소 1 · 단가행 보유 1,PASS,PASS,PASS,PASS,PASS,0,0,본품 PASS · 중복구성요소 PASS · disp_seq PASS · 고아 PASS,PASS,일치 52건 + 후보일치 0건,PASS,5조합 전건 supply 산출,PASS,결합추론(축③ DB↔권위 ∧ 축④ 위젯↔산출),
PRD_000124,린넨패브릭포스터,PASS,구성요소 2 · 단가행 보유 2,PASS,PASS,PASS,PASS,PASS,0,0,본품 PASS · 중복구성요소 PASS · disp_seq PASS · 고아 PASS,PASS,일치 52건 + 후보일치 0건,PASS,12조합 전건 supply 산출,PASS,결합추론(축③ DB↔권위 ∧ 축④ 위젯↔산출),
PRD_000125,캔버스패브릭포스터,PASS,구성요소 1 · 단가행 보유 1,PASS,PASS,PASS,PASS,PASS,0,0,본품 PASS · 중복구성요소 PASS · disp_seq PASS · 고아 PASS,PASS,일치 52건 + 후보일치 0건,PASS,9조합 전건 supply 산출,PASS,결합추론(축③ DB↔권위 ∧ 축④ 위젯↔산출),
PRD_000126,레더아트프린트,PASS,구성요소 1 · 단가행 보유 1,PASS,PASS,PASS,PASS,PASS,0,0,본품 PASS · 중복구성요소 PASS · disp_seq PASS · 고아 PASS,PASS,일치 52건 + 후보일치 0건,PASS,5조합 전건 supply 산출,PASS,결합추론(축③ DB↔권위 ∧ 축④ 위젯↔산출),
PRD_000127,타이벡프린트,PASS,구성요소 1 · 단가행 보유 1,PASS,PASS,PASS,PASS,PASS,0,0,본품 PASS · 중복구성요소 PASS · disp_seq PASS · 고아 PASS,PASS,일치 52건 + 후보일치 0건,PASS,10조합 전건 supply 산출,PASS,결합추론(축③ DB↔권위 ∧ 축④ 위젯↔산출),
