prd_cd,prd_nm,wgt_cd,proc_cd,proc_nm,qty,base,withproc,gap,verdict,note,base_comps
PRD_000016,프리미엄엽서,WGT_000242,PROC_000004,디지털인쇄,15,71,4071,4000,UNDERCHARGE,,용지비(종이별 절가)
PRD_000017,코팅엽서,WGT_000243,PROC_000004,디지털인쇄,15,78,4078,4000,UNDERCHARGE,,용지비(종이별 절가)
PRD_000018,스탠다드엽서,WGT_000244,PROC_000004,디지털인쇄,4,71,4071,4000,UNDERCHARGE,,용지비(종이별 절가)
PRD_000019,투명엽서,WGT_000245,PROC_000004,디지털인쇄,8,1100,5100,4000,UNDERCHARGE,,용지비(종이별 절가)
PRD_000020,화이트인쇄엽서,WGT_000246,PROC_000008,화이트인쇄,12,1243,1243,0,OK,,용지비(종이별 절가)
PRD_000021,핑크별색엽서,WGT_000298,PROC_000004,디지털인쇄,6,126,4126,4000,UNDERCHARGE,,용지비(종이별 절가)
PRD_000024,포토카드,WGT_000423,,,,,,,BASE-FAIL,선택값에 매칭되는 구성요소가 없습니다(합계 0원).,
PRD_000025,투명포토카드,WGT_000433,,,,,,,BASE-FAIL,선택값에 매칭되는 구성요소가 없습니다(합계 0원).,
PRD_000026,종이슬로건,WGT_000443,PROC_000004,디지털인쇄,2,94,4094,4000,UNDERCHARGE,,
PRD_000027,2단접지카드,WGT_000248,PROC_000004,디지털인쇄,8,142,9342,9200,UNDERCHARGE,,용지비(종이별 절가)
PRD_000028,미니접지카드,WGT_000304,PROC_000004,디지털인쇄,30,212,13112,12900,UNDERCHARGE,,용지비(종이별 절가)
PRD_000029,3단접지카드,WGT_000299,PROC_000004,디지털인쇄,8,212,13112,12900,UNDERCHARGE,,용지비(종이별 절가)
PRD_000030,지그재그엽서,WGT_000297,PROC_000004,디지털인쇄,2,5748,12748,7000,UNDERCHARGE,,
PRD_000031,프리미엄명함,WGT_000249,PROC_000004,디지털인쇄,100,4500,4500,0,OK,,프리미엄명함A 완제품가(용지포함)
PRD_000032,코팅명함,WGT_000314,PROC_000004,디지털인쇄,100,5500,5500,0,OK,,코팅명함 완제품가(용지포함)
PRD_000034,펄명함,WGT_000316,PROC_000004,디지털인쇄,100,9000,9000,0,OK,,펄명함(스타드림) 완제품가(용지포함)
PRD_000035,모양명함,WGT_000250,PROC_000004,디지털인쇄,100,18000,18000,0,OK,,모양명함 완제품가(용지포함)
PRD_000035,모양명함,WGT_000250,PROC_000123,완칼커팅,100,18000,18000,0,OK,,모양명함 완제품가(용지포함)
PRD_000036,미니모양명함,WGT_000319,PROC_000004,디지털인쇄,100,16000,16000,0,OK,,미니모양명함 완제품가(용지포함)
PRD_000036,미니모양명함,WGT_000319,PROC_000123,완칼커팅,100,16000,16000,0,OK,,미니모양명함 완제품가(용지포함)
PRD_000038,형압명함,WGT_000252,PROC_000004,디지털인쇄,100,4500,4500,0,OK,,프리미엄명함A 완제품가(용지포함)
PRD_000039,투명명함,WGT_000317,PROC_000004,디지털인쇄,100,13500,13500,0,OK,,투명명함 완제품가 단면(용지포함)
PRD_000041,스탠다드 쿠폰/상품권,WGT_000253,PROC_000004,디지털인쇄,12,31,4031,4000,UNDERCHARGE,,용지비(종이별 절가)
PRD_000042,프리미엄 쿠폰/상품권,WGT_000237,PROC_000004,디지털인쇄,10,113,4113,4000,UNDERCHARGE,,용지비(종이별 절가)
PRD_000043,인쇄배경지(일반형),WGT_000254,PROC_000004,디지털인쇄,20,756,6356,5600,UNDERCHARGE,,"용지비(종이별 절가),접지비 카드 2단"
PRD_000044,인쇄배경지(커팅형),WGT_000255,PROC_000004,디지털인쇄,20,756,6356,5600,UNDERCHARGE,,"용지비(종이별 절가),접지비 카드 2단"
PRD_000045,인쇄헤더택,WGT_000322,PROC_000004,디지털인쇄,20,911,8911,8000,UNDERCHARGE,,
PRD_000045,인쇄헤더택,WGT_000322,PROC_000090,오시,20,911,911,0,OK,,
PRD_000046,라벨/택,WGT_000323,PROC_000004,디지털인쇄,20,2143,6143,4000,UNDERCHARGE,,
PRD_000047,소량전단지,WGT_000320,PROC_000004,디지털인쇄,4,31,4031,4000,UNDERCHARGE,,용지비(종이별 절가)
PRD_000048,접지리플렛,WGT_000321,PROC_000004,디지털인쇄,2,31,6031,6000,UNDERCHARGE,,용지비(종이별 절가)
PRD_000049,와이드 접지리플렛,WGT_000305,PROC_000004,디지털인쇄,2,180,9380,9200,UNDERCHARGE,,용지비(종이별 절가)
PRD_000052,반칼 자유형 스티커,WGT_000437,PROC_000122,반칼커팅,8,50400,50400,0,OK,,스티커 완제품가(소재·규격)
PRD_000052,반칼 자유형 스티커,WGT_000437,PROC_000004,디지털인쇄,8,50400,50400,0,OK,,스티커 완제품가(소재·규격)
PRD_000053,반칼 자유형 투명스티커,WGT_000256,PROC_000122,반칼커팅,8,58400,58400,0,OK,,스티커 완제품가(소재·규격)
PRD_000053,반칼 자유형 투명스티커,WGT_000256,PROC_000004,디지털인쇄,8,58400,58400,0,OK,,스티커 완제품가(소재·규격)
PRD_000054,반칼 자유형 홀로그램스티커,WGT_000438,PROC_000122,반칼커팅,8,58400,58400,0,OK,,스티커 완제품가(소재·규격)
