prd_cd,siz_nm,opt_grp,opt_nm,unit_price,base,got,delta,verdict,note
PRD_000124,A3세로 (297x420mm),마감(Y),오버로크,0.0,17000,17000,0,OK,
PRD_000124,A3세로 (297x420mm),마감(Y),말아박기,1000.0,17000,18000,1000,OK,
PRD_000124,A3세로 (297x420mm),마감(Y),봉미싱(7cm),2000.0,17000,19000,2000,OK,
PRD_000124,A3세로 (297x420mm),마감(Y),오버로크+리본끈,800.0,17000,17800,800,OK,
PRD_000124,A3세로 (297x420mm),마감(Y),말아박기+면끈,2000.0,17000,19000,2000,OK,
PRD_000124,A3가로 (420x297mm),마감(Y),오버로크,0.0,17000,17000,0,OK,
PRD_000124,A3가로 (420x297mm),마감(Y),말아박기,1000.0,17000,18000,1000,OK,
PRD_000124,A3가로 (420x297mm),마감(Y),봉미싱(7cm),2000.0,17000,19000,2000,OK,
PRD_000124,A3가로 (420x297mm),마감(Y),오버로크+리본끈,800.0,17000,17800,800,OK,
PRD_000124,A3가로 (420x297mm),마감(Y),말아박기+면끈,2000.0,17000,19000,2000,OK,
PRD_000124,A2세로 (420x594mm),마감(Y),오버로크,0.0,17000,17000,0,OK,
PRD_000124,A2세로 (420x594mm),마감(Y),말아박기,1000.0,17000,18000,1000,OK,
PRD_000124,A2세로 (420x594mm),마감(Y),봉미싱(7cm),2000.0,17000,19000,2000,OK,
PRD_000124,A2세로 (420x594mm),마감(Y),오버로크+리본끈,800.0,17000,17800,800,OK,
PRD_000124,A2세로 (420x594mm),마감(Y),말아박기+면끈,2000.0,17000,19000,2000,OK,
PRD_000124,A2가로(594x420mm),마감(Y),오버로크,0.0,17000,17000,0,OK,
PRD_000124,A2가로(594x420mm),마감(Y),말아박기,1000.0,17000,18000,1000,OK,
PRD_000124,A2가로(594x420mm),마감(Y),봉미싱(7cm),2000.0,17000,19000,2000,OK,
PRD_000124,A2가로(594x420mm),마감(Y),오버로크+리본끈,800.0,17000,17800,800,OK,
PRD_000124,A2가로(594x420mm),마감(Y),말아박기+면끈,2000.0,17000,19000,2000,OK,
PRD_000124,A1세로(594x841mm),마감(Y),오버로크,0.0,30000,30000,0,OK,
PRD_000124,A1세로(594x841mm),마감(Y),말아박기,1000.0,30000,31000,1000,OK,
PRD_000124,A1세로(594x841mm),마감(Y),봉미싱(7cm),2000.0,30000,32000,2000,OK,
PRD_000124,A1세로(594x841mm),마감(Y),오버로크+리본끈,800.0,30000,30800,800,OK,
PRD_000124,A1세로(594x841mm),마감(Y),말아박기+면끈,2000.0,30000,32000,2000,OK,
PRD_000124,A1가로 (841x594mm),마감(Y),오버로크,0.0,30000,30000,0,OK,
PRD_000124,A1가로 (841x594mm),마감(Y),말아박기,1000.0,30000,31000,1000,OK,
PRD_000124,A1가로 (841x594mm),마감(Y),봉미싱(7cm),2000.0,30000,32000,2000,OK,
PRD_000124,A1가로 (841x594mm),마감(Y),오버로크+리본끈,800.0,30000,30800,800,OK,
PRD_000124,A1가로 (841x594mm),마감(Y),말아박기+면끈,2000.0,30000,32000,2000,OK,
PRD_000133,A4(210x297mm),마감(Y),오버로크,,6000,,,CALL-FAIL,옵션코드 '오버로크' 선택은 '캔버스행잉포스터 우드행거+면끈 추가가격' 단가가 등록되지 않아 주문할 수 없습니다
PRD_000133,A4(210x297mm),부자재(N),우드행거+면끈 포함,16000.0,6000,22000,16000,OK,
PRD_000133,A3 (297x420mm),마감(Y),오버로크,,10500,,,CALL-FAIL,옵션코드 '오버로크' 선택은 '캔버스행잉포스터 우드행거+면끈 추가가격' 단가가 등록되지 않아 주문할 수 없습니다
PRD_000133,A3 (297x420mm),부자재(N),우드행거+면끈 포함,18000.0,10500,28500,18000,OK,
PRD_000133,A2 (420X594mm),마감(Y),오버로크,,20000,,,CALL-FAIL,옵션코드 '오버로크' 선택은 '캔버스행잉포스터 우드행거+면끈 추가가격' 단가가 등록되지 않아 주문할 수 없습니다
PRD_000133,A2 (420X594mm),부자재(N),우드행거+면끈 포함,20000.0,20000,40000,20000,OK,
PRD_000134,A4,마감(Y),오버로크+봉미싱(4cm),,6000,,,CALL-FAIL,옵션코드 '오버로크+봉미싱(4cm)' 선택은 '린넨우드봉족자 우드봉+면끈 추가가격' 단가가 등록되지 않아 주문할 수 없습니다
PRD_000134,A4,부자재(N),우드봉+면끈 포함,7000.0,6000,13000,7000,OK,
PRD_000134,A3,마감(Y),오버로크+봉미싱(4cm),,8200,,,CALL-FAIL,옵션코드 '오버로크+봉미싱(4cm)' 선택은 '린넨우드봉족자 우드봉+면끈 추가가격' 단가가 등록되지 않아 주문할 수 없습니다
