prd_cd,prd_nm,wgt_cd,siz_cd,mat_cd,qty,total,verdict,err
PRD_000001,OPP접착봉투,WGT_000280,SIZ_000086,,1,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000002,OPP비접착봉투,WGT_000290,SIZ_000080,,1,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000004,카드봉투,WGT_000292,SIZ_000104,,1,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000005,캘린더봉투,WGT_000293,SIZ_000107,,1,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000006,볼체인,WGT_000294,,MAT_000448,1,1000,OK,
PRD_000007,와이어링,WGT_000295,,MAT_000439,1,500,OK,
PRD_000009,투명케이스,WGT_000401,SIZ_000110,MAT_000532,1,,ERR,사이즈 '75x110x15mm' 선택은 '캘린더봉투·케이스·고무판 완제품가(사이즈×묶음수)' 단가가 등록되지 않아 주문할 수 없습니다; 선택값에 매칭되는 구성요소
PRD_000011,자석고정용고무판,WGT_000402,SIZ_000111,,1,,ERR,사이즈 '20x20mm' 선택은 '캘린더봉투·케이스·고무판 완제품가(사이즈×묶음수)' 단가가 등록되지 않아 주문할 수 없습니다; 선택값에 매칭되는 구성요소가 없습
PRD_000012,우드거치대,WGT_000296,SIZ_000528,MAT_000397,1,4000,OK,
PRD_000013,우드봉,WGT_000281,SIZ_000529,,1,7000,OK,
PRD_000014,우드행거,WGT_000403,SIZ_000532,,1,16000,OK,
PRD_000015,만년스탬프 리필잉크,WGT_000404,,MAT_000541,1,2500,OK,
PRD_000016,프리미엄엽서,WGT_000242,SIZ_000001,MAT_000074,15,71,OK,
PRD_000017,코팅엽서,WGT_000243,SIZ_000001,MAT_000081,15,78,OK,
PRD_000018,스탠다드엽서,WGT_000244,SIZ_000007,MAT_000074,4,71,OK,
PRD_000019,투명엽서,WGT_000245,SIZ_000003,MAT_000144,8,1100,OK,
PRD_000020,화이트인쇄엽서,WGT_000246,SIZ_000002,MAT_000363,12,1243,OK,
PRD_000021,핑크별색엽서,WGT_000298,SIZ_000004,MAT_000347,6,126,OK,
PRD_000024,포토카드,WGT_000423,SIZ_000012,MAT_000082,1,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000025,투명포토카드,WGT_000433,SIZ_000012,MAT_000144,1,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000026,종이슬로건,WGT_000443,SIZ_000016,MAT_000082,2,94,OK,
PRD_000027,2단접지카드,WGT_000248,SIZ_000523,MAT_000074,8,142,OK,
PRD_000028,미니접지카드,WGT_000304,SIZ_000527,MAT_000074,30,212,OK,
PRD_000029,3단접지카드,WGT_000299,SIZ_000536,MAT_000074,8,212,OK,
PRD_000030,지그재그엽서,WGT_000297,SIZ_000031,MAT_000110,2,5748,OK,
PRD_000031,프리미엄명함,WGT_000249,SIZ_000133,MAT_000101,100,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000032,코팅명함,WGT_000314,SIZ_000008,MAT_000081,100,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000033,스탠다드명함,WGT_000315,SIZ_000133,MAT_000091,100,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000034,펄명함,WGT_000316,SIZ_000008,MAT_000352,100,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000035,모양명함,WGT_000250,SIZ_000147,MAT_000109,100,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000036,미니모양명함,WGT_000319,SIZ_000148,MAT_000109,100,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000037,오리지널박명함,WGT_000251,SIZ_000008,MAT_000361,200,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000038,형압명함,WGT_000252,SIZ_000008,MAT_000109,100,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000039,투명명함,WGT_000317,SIZ_000008,MAT_000144,100,13500,OK,
