comp_cd,comp_nm,comp_typ_cd,prc_typ_cd,use_dims,use_yn,del_yn
ACC_PPCASE,투명케이스,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
ACC_WOODHANGER,우드행거 우드봉,,,"[""siz_cd"", ""mat_cd"", ""min_qty""]",Y,N
CARDMIRROR_BUNDLE,카드거울,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""bdl_qty"", ""min_qty""]",Y,N
CLR_ACRYL_1.5T,투명아크릴1.5T 인쇄가공비,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N
COMP_ACC_ENV_CLR_BDL,카드봉투 사이즈x묶음수,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""opt_cd"", ""bdl_qty"", ""min_qty"", ""opt_grp:OPT-000012""]",Y,N
COMP_ACC_ENV_ETC,캘린더봉투 사이즈×묶음수,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""bdl_qty"", ""min_qty""]",Y,N
COMP_ACC_ENV_OPP_ADH,OPP접착봉투 완제품가(사이즈×묶음수),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""bdl_qty"", ""min_qty""]",Y,Y
COMP_ACC_ENV_OPP_NADH,OPP비접착봉투 완제품가(사이즈×묶음수),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""bdl_qty"", ""min_qty""]",Y,Y
COMP_ACC_ENV_TRACING,트레싱지봉투 사이즈×묶음수,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""bdl_qty"", ""min_qty""]",Y,N
COMP_ACC_PART_MAT,부자재 완제품가(자재),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""mat_cd"", ""min_qty""]",Y,N
COMP_ACC_WOOD_SIZ,우드봉·행거 완제품가(길이),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""mat_cd"", ""min_qty""]",Y,Y
COMP_ACRYL_BADGE,아크릴뱃지 가공,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000296""]",Y,N
COMP_ACRYL_BALLPEN,아크릴볼펜 본체,PRC_COMPONENT_TYPE.01,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N
COMP_ACRYL_BLACK_HAIR_BAND,아크릴 머리끈,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000301""]",Y,N
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),PRC_COMPONENT_TYPE.01,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,PRC_COMPONENT_TYPE.01,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N
COMP_ACRYL_CLIP,집게 부속,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000297""]",Y,N
COMP_ACRYL_COROTTO,아크릴코롯토(투명8T) 인쇄가공비,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N
COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty""]",Y,N
COMP_ACRYL_FREESTAND,아크릴자유형스탠드 본체,PRC_COMPONENT_TYPE.01,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N
COMP_ACRYL_KEYRING,키링 열쇠고리,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000157""]",Y,N
COMP_ACRYL_KEYRING_BALLCHAIN,키링 볼체인,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000079""]",N,Y
COMP_ACRYL_MAGNET,아크릴마그넷 가공,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000295""]",Y,N
COMP_ACRYL_MINIPART_TBD,미니파츠 단가 미정 · 실무진 확인필요 (120x50 가격표 격자밖),PRC_COMPONENT_TYPE.01,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N
COMP_ACRYL_MIRROR3T,미러아크릴3T 인쇄가공비,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",Y,N
COMP_ACRYL_NAMETAG_GS,아크릴명찰(골드실버) 본체,PRC_COMPONENT_TYPE.01,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N
COMP_ACRYL_NAMETAG_GS_OPTION,아크릴명찰(골드실버) 가공옵션,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000299""]",Y,N
COMP_ACRYL_NAMETAG_PIN,아크릴명찰 가공,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000298""]",Y,N
COMP_ACRYL_PENDING_TBD,단가/구성 확인필요 (실무진),PRC_COMPONENT_TYPE.01,PRICE_TYPE.02,"[""min_qty""]",Y,Y
COMP_ACRYL_SMARTTOK,스마트톡 바디,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000270""]",Y,N
COMP_ACRYL_ZIBITZ,아크릴지비츠 가공(투명/스핀) 완제품가,,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000300""]",Y,N
COMP_BANNER_ADDON,일반 현수막 부자재,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000004""]",Y,N
COMP_BANNER_MESH_ADDON,메쉬현수막 부자재,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000023""]",Y,N
COMP_BANNER_MESH_OPTION,메쉬현수막 가공옵션,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000285""]",Y,N
