frm_cd,frm_nm,use_yn
CARDMIRROR_,카드거울x묶음수,Y
PINBOTTON_,핀버튼x묶음수,Y
PRF_ACRYL_3DBLOCK_TBD,아크릴입체블럭 (★단가 확인필요),Y
PRF_ACRYL_3DCOROTTO_TBD,아크릴입체코롯토 (★사이즈/자재/단가 미설정),Y
PRF_ACRYL_BALLPEN,아크릴볼펜 공식,Y
PRF_ACRYL_FREESTAND,아크릴자유형스탠드 공식,Y
PRF_ACRYL_MINIPART,아크릴미니파츠 공식 (★단가 확인필요),Y
PRF_ACRYL_PHCOROTTO_TBD,포카코롯토 (★투명8mm 55x86 단가 확인필요),Y
PRF_ACRYL_SHAKER_TBD,아크릴쉐이커 (★자재/단가 확인필요),Y
PRF_ACRYL_SHCOROTTO_TBD,아크릴쉐이커코롯토 (★구성/단가 미설정),N
PRF_ACRYL_ZIBITZ2_TBD,지비츠★ (★사이즈/자재/단가 미설정),Y
PRF_ACRYL_ZIBITZ_TBD,아크릴지비츠 (★본체 미세격자15mm·가공 슈츠참 단가 확인필요),N
PRF_BIND_MUSEON,제본 합산형(무선),Y
PRF_BIND_MUSEON_FOIL,무선책자(제본)+박(표지),Y
PRF_BIND_PUR,제본 합산형(PUR),Y
PRF_BIND_PUR_FOIL,PUR책자(제본)+박(표지),Y
PRF_BIND_SUM,제본 합산형(중철),Y
PRF_BIND_TWINRING,제본 합산형(트윈링),Y
PRF_BOOK_COVER,책자 표지 분해형(인쇄+코팅+용지),Y
PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,Y
PRF_DGP_A_FOIL,프리미엄쿠폰/상품권(디지털인쇄)+박,Y
PRF_DGP_B,디지털인쇄 원자합산형B 모양엽서·라벨택,Y
PRF_DGP_C,디지털인쇄 원자합산형C 인쇄배경지·헤더택,Y
PRF_DGP_C_6CR,디지털인쇄 원자합산형C-6단접지 지그재그엽서,Y
PRF_DGP_CAL_DESK,디지털인쇄 원자합산형-탁상형캘린더(캘린더제본),Y
PRF_DGP_CAL_WIDE,디지털인쇄 원자합산형-와이드벽걸이캘린더(트윈링),Y
PRF_DGP_D,디지털인쇄 원자합산형D 소량전단지,Y
PRF_DGP_E,디지털인쇄 원자합산형E 접지카드·접지리플렛,Y
PRF_DGP_E_FOIL,접지카드(디지털인쇄·접지·타공)+박,Y
PRF_DGP_F,디지털인쇄 원자합산형F 썬캡(미출시),Y
PRF_DGP_INNER,디지털인쇄 책자 내지(인쇄비+용지비·출력매수),Y
PRF_DGP_INNER_CAL,디지털인쇄 엽서캘린더 내지(인쇄비+용지비+캘린더가공비),Y
PRF_ENV_MAKING,봉투제작 소재/수량별 단가,Y
PRF_FOLD_SUM,접지 합산형(오시+접지 후가공 구성요소),Y
PRF_GANGPAN_FIXED,합판도무송 사이즈/소재/수량별 단가,Y
PRF_GOODS_FIX_186,사각손거울 사이즈등급 고정가,Y
PRF_GOODS_FIX_187,블랙사각손거울 사이즈등급 고정가,Y
PRF_GOODS_FIXED_SIZ,굿즈 사이즈등급 고정가,Y
PRF_GOODS_SHAKER_COROTTO,아크릴쉐이커코롯토 인쇄면 고정가,Y
PRF_HC_MUSEON_SET,하드커버무선 표지+제본 합산가(세트 부모),Y
PRF_HC_TWINRING_SET,하드커버트윈링 제본 합산가(세트 부모),Y
PRF_LEATHER_RINGBINDER_SET,레더 링바인더 표지+제본 통합(077 COVERBIND 동형),Y
PRF_NAMECARD_CLEAR,투명명함 수량별 단가(용지포함),Y
PRF_NAMECARD_COAT,코팅명함 면/소재/수량별 단가(용지포함),Y
PRF_NAMECARD_EMBOSS,형압명함 소재(A등급)·면·수량별 단가(용지포함)+형압,Y
PRF_NAMECARD_FIXED,명함 면/소재/수량별 단가(용지포함),Y
PRF_NAMECARD_FIXED_FOIL,프리미엄명함 면/소재/수량별 단가(용지포함)+박,Y
PRF_NAMECARD_FOIL,오리지널박명함 박종류/수량별 단가 + 동판셋업비,Y
PRF_NAMECARD_MINISHAPE,미니모양명함 면/수량별 단가(용지포함),Y
PRF_NAMECARD_PEARL,펄명함(스타드림) 면/소재/수량별 단가(용지포함),Y
PRF_NAMECARD_PEARL_FOIL,펄명함 면/소재/수량별 단가(용지포함)+박,Y
PRF_NAMECARD_PREMIUM,프리미엄명함 면/소재(등급)/수량별 단가(용지포함),Y
PRF_NAMECARD_PREMIUM_FOIL,프리미엄명함 면/소재(등급)/수량별 단가(용지포함)+박,Y
PRF_NAMECARD_SHAPE,모양명함 면/수량별 단가(용지포함),Y
PRF_NAMECARD_WHITE,화이트인쇄명함 면·클리어별색·수량별 단가(용지포함),Y
PRF_PCB_FIXED,엽서북 사이즈/면/페이지/수량별 단가,Y
PRF_PHOTOBOOK_FIXED,포토북 기본가(24P·사이즈/표지타입별),Y
PRF_PHOTOBOOK_INNER,포토북 내지 추가페이지가(2P당·사이즈별),Y
PRF_PHOTOCARD_CLEAR,투명포토카드 세트 고정가,Y
PRF_PHOTOCARD_FIXED,포토카드 세트 고정가,N
PRF_PHOTOCARD_NORMAL,일반포토카드 세트 고정가,Y
PRF_STK_PACK,스티커팩 합가형(54장1세트 4000),Y
PRF_STN_DIARY_HARD,만년다이어리(하드커버) 완제품가,Y
PRF_STN_DIARY_LHARD,만년다이어리(레더하드커버) 완제품가,Y
PRF_STN_DIARY_LSOFT,만년다이어리(레더소프트커버) 완제품가,Y
PRF_STN_DIARY_SOFT,만년다이어리(소프트커버) 완제품가,Y
PRF_STN_JUNGCHEOL,중철노트 완제품가,Y
PRF_STN_MEMOPAD,메모패드 완제품가,Y
PRF_STN_MONTHLY,먼슬리플래너 완제품가,Y
PRF_STN_SPRINGNOTE,스프링노트 완제품가,Y
PRF_STN_SPRINGNOTEBK,스프링수첩 완제품가,Y
PRF_TTEOKME_FIXED,떡메모지 사이즈/권당장수/장수별 단가,Y
