prd_cd,combo,qty,selections,procs,ok,base_amount,final_price,component_cnt,components,discounts,discount_cnt,warnings,errors,captured_at_utc
PRD_000052,기본,8,mat_cd=MAT_000584; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,PROC_000122 PROC_000004,True,45600,45600,1,COMP_STK_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000052,변형(siz_cd),8,mat_cd=MAT_000584; print_opt_cd=POPT_000001; siz_cd=SIZ_000057,PROC_000122 PROC_000004,True,50400,50400,1,COMP_STK_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000053,기본,8,mat_cd=MAT_000371; print_opt_cd=POPT_000001; siz_cd=SIZ_000057,PROC_000122 PROC_000004,True,58400,58400,1,COMP_STK_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000053,변형(siz_cd),8,mat_cd=MAT_000371; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,PROC_000122 PROC_000004,True,53600,53600,1,COMP_STK_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000054,기본,8,mat_cd=MAT_000590; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,PROC_000122 PROC_000004,True,53600,53600,1,COMP_STK_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000054,변형(siz_cd),8,mat_cd=MAT_000590; print_opt_cd=POPT_000001; siz_cd=SIZ_000057,PROC_000122 PROC_000004,True,58400,58400,1,COMP_STK_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000055,기본,1,mat_cd=MAT_000593; print_opt_cd=POPT_000001; siz_cd=SIZ_000315,PROC_000123 PROC_000116 PROC_000006,True,8000,8000,1,STK_CUT_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000055,변형(siz_cd),1,mat_cd=MAT_000593; print_opt_cd=POPT_000001; siz_cd=SIZ_000258,PROC_000123 PROC_000116 PROC_000006,True,4000,4000,1,STK_CUT_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000056,기본,1,mat_cd=MAT_000592; print_opt_cd=POPT_000001; siz_cd=SIZ_000258,PROC_000109,True,7000,7000,1,STK_CUT_CLEAR_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000056,변형(siz_cd),1,mat_cd=MAT_000592; print_opt_cd=POPT_000001; siz_cd=SIZ_000315,PROC_000109,True,14000,14000,1,STK_CUT_CLEAR_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000057,기본,1,mat_cd=MAT_000593; print_opt_cd=POPT_000001; siz_cd=SIZ_000199,PROC_000123 PROC_000006 PROC_000116,True,16000,16000,1,STK_CUT_LARGE_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000057,변형(수량),2,mat_cd=MAT_000593; print_opt_cd=POPT_000001; siz_cd=SIZ_000199,PROC_000123 PROC_000006 PROC_000116,True,32000,32000,1,STK_CUT_LARGE_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000058,기본,4,mat_cd=MAT_000584; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,PROC_000004,True,23200,23200,1,STK_KISSCUT_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
PRD_000058,변형(mat_cd),4,mat_cd=MAT_000611; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,PROC_000004,True,23200,23200,1,STK_KISSCUT_PRINT=None,,0,,,2026-09-02T16:31:04+00:00
