적용일,자재,사이즈가로(이하),사이즈세로(이하),수량(이상),단가,비고
,MAT_000387,20,20,1,2000,권위 아크릴 r26~r35
,MAT_000387,30,20,1,2160,권위 아크릴 r26~r35
,MAT_000387,40,20,1,2400,권위 아크릴 r26~r35
,MAT_000387,50,20,1,2560,권위 아크릴 r26~r35
,MAT_000387,60,20,1,2720,권위 아크릴 r26~r35
,MAT_000387,70,20,1,2880,권위 아크릴 r26~r35
,MAT_000387,80,20,1,3040,권위 아크릴 r26~r35
,MAT_000387,90,20,1,3200,권위 아크릴 r26~r35
,MAT_000387,100,20,1,3360,권위 아크릴 r26~r35
,MAT_000387,120,20,1,3520,권위 아크릴 r26~r35
,MAT_000387,20,30,1,2160,권위 아크릴 r26~r35
,MAT_000387,30,30,1,2480,권위 아크릴 r26~r35
,MAT_000387,40,30,1,2720,권위 아크릴 r26~r35
,MAT_000387,50,30,1,3040,권위 아크릴 r26~r35
,MAT_000387,60,30,1,3200,권위 아크릴 r26~r35
,MAT_000387,70,30,1,3440,권위 아크릴 r26~r35
,MAT_000387,80,30,1,3760,권위 아크릴 r26~r35
,MAT_000387,90,30,1,4000,권위 아크릴 r26~r35
,MAT_000387,100,30,1,4240,권위 아크릴 r26~r35
,MAT_000387,120,30,1,4480,권위 아크릴 r26~r35
,MAT_000387,20,40,1,2400,권위 아크릴 r26~r35
,MAT_000387,30,40,1,2720,권위 아크릴 r26~r35
,MAT_000387,40,40,1,3040,권위 아크릴 r26~r35
,MAT_000387,50,40,1,3360,권위 아크릴 r26~r35
,MAT_000387,60,40,1,3760,권위 아크릴 r26~r35
,MAT_000387,70,40,1,4080,권위 아크릴 r26~r35
,MAT_000387,80,40,1,4400,권위 아크릴 r26~r35
,MAT_000387,90,40,1,4720,권위 아크릴 r26~r35
,MAT_000387,100,40,1,5120,권위 아크릴 r26~r35
,MAT_000387,120,40,1,5520,권위 아크릴 r26~r35
,MAT_000387,20,50,1,2560,권위 아크릴 r26~r35
,MAT_000387,30,50,1,2960,권위 아크릴 r26~r35
,MAT_000387,40,50,1,3360,권위 아크릴 r26~r35
,MAT_000387,50,50,1,3840,권위 아크릴 r26~r35
,MAT_000387,60,50,1,4240,권위 아크릴 r26~r35
,MAT_000387,70,50,1,4640,권위 아크릴 r26~r35
,MAT_000387,80,50,1,5120,권위 아크릴 r26~r35
,MAT_000387,90,50,1,5520,권위 아크릴 r26~r35
,MAT_000387,100,50,1,5920,권위 아크릴 r26~r35
,MAT_000387,120,50,1,6320,권위 아크릴 r26~r35
