comp_cd,comp_nm,판정,dim:siz_cd,dim:plt_siz_cd,dim:print_opt_cd,dim:mat_cd,dim:proc_cd,dim:opt_cd,dim:coat_side_cnt,dim:spot_side_cnt,dim:bdl_qty,dim:siz_width,dim:siz_height,dim:min_qty,권위_시트,권위_하위표,권위_축라벨,라이브_단가
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),실재,SIZ_000366,,,,,,,,,,,1,아크릴,B06,siz_cd←사각자물쇠 (자물쇠변형) 40x69 · min_qty←(블록 상수),5800.00
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),실재,SIZ_000367,,,,,,,,,,,1,아크릴,B06,siz_cd←하트자물쇠 (하트A) 43x71 · min_qty←(블록 상수),5800.00
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),실재,SIZ_000368,,,,,,,,,,,1,아크릴,B06,siz_cd←하트 (하트B) 59x54 · min_qty←(블록 상수),6300.00
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),실재,SIZ_000369,,,,,,,,,,,1,아크릴,B06,siz_cd←원형 (원형B) 68x70 · min_qty←(블록 상수),6900.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,20,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←20mm · min_qty←(블록 상수),2500.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,30,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←30mm · min_qty←(블록 상수),2700.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,40,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←40mm · min_qty←(블록 상수),3000.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,50,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←50mm · min_qty←(블록 상수),3200.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,60,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←60mm · min_qty←(블록 상수),3400.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,70,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←70mm · min_qty←(블록 상수),3600.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,80,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←80mm · min_qty←(블록 상수),3800.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,90,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←90mm · min_qty←(블록 상수),4000.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,100,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←100mm · min_qty←(블록 상수),4200.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,120,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←120mm · min_qty←(블록 상수),4600.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,140,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←140mm · min_qty←(블록 상수),5000.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,160,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←160mm · min_qty←(블록 상수),5400.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,180,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←180mm · min_qty←(블록 상수),5800.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,20,200,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←20mm · siz_height←200mm · min_qty←(블록 상수),6200.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,20,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←20mm · min_qty←(블록 상수),2700.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,30,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←30mm · min_qty←(블록 상수),3100.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,40,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←40mm · min_qty←(블록 상수),3400.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,50,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←50mm · min_qty←(블록 상수),3800.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,60,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←60mm · min_qty←(블록 상수),4000.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,70,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←70mm · min_qty←(블록 상수),4300.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,80,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←80mm · min_qty←(블록 상수),4700.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,90,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←90mm · min_qty←(블록 상수),5000.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,100,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←100mm · min_qty←(블록 상수),5300.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,120,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←120mm · min_qty←(블록 상수),5900.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,140,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←140mm · min_qty←(블록 상수),6500.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,160,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←160mm · min_qty←(블록 상수),7100.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,180,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←180mm · min_qty←(블록 상수),7700.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,30,200,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←30mm · siz_height←200mm · min_qty←(블록 상수),8300.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,40,20,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←40mm · siz_height←20mm · min_qty←(블록 상수),3000.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,40,30,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←40mm · siz_height←30mm · min_qty←(블록 상수),3400.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,40,40,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←40mm · siz_height←40mm · min_qty←(블록 상수),3800.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,40,50,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←40mm · siz_height←50mm · min_qty←(블록 상수),4200.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,40,60,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←40mm · siz_height←60mm · min_qty←(블록 상수),4700.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,40,70,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←40mm · siz_height←70mm · min_qty←(블록 상수),5100.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,40,80,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←40mm · siz_height←80mm · min_qty←(블록 상수),5500.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,40,90,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←40mm · siz_height←90mm · min_qty←(블록 상수),5900.00
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,실재,,,,MAT_000386,,,,,,40,100,1,아크릴,B01,mat_cd←투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가 · siz_width←40mm · siz_height←100mm · min_qty←(블록 상수),6400.00
