sheet,code,name,grid_head_row,grid_last_row,grid_col_from,grid_col_to,data_rows,data_cols,numeric_cells,axis_header,row_labels
아크릴,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,4,18,1,15,14,14,196,가로 / 세로 | 20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100mm | 120mm | 140mm | 160mm | 180mm | 200mm,20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100mm | 120mm | 140mm | 160mm | 180mm | 200mm
아크릴,ACRYLIC_CLEAR15T_PRINT,아크릴_투명1.5T_출력가,26,35,1,11,9,10,90,가로 / 세로 | 20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100mm | 120mm,20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100mm
아크릴,ACRYLIC_MIRROR3T_PRINT,아크릴_미러3T_출력가,42,51,1,10,9,9,81,가로 / 세로 | 20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100mm,20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100mm
아크릴,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,69,94,1,4,25,3,25,아크릴키링 | 고리없음 | 0.0,아크릴뱃지 | 아크릴마그넷 | 아크릴집게 | 아크릴명찰 | 아크릴스마트톡 | 아크릴지비츠(슈츠참) | 아크릴볼펜 | 아크릴머리끈 | 아크릴카리비너(고리)
아크릴,ACRYLIC_CLEAR8T_PRINT,아크릴_투명8T_출력가,101,107,1,7,6,6,36,가로 / 세로 | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm,30mm | 40mm | 50mm | 60mm | 70mm | 80mm
아크릴,ACRYLIC_CARABINER_FINAL,아크릴_카라비너_제작가,115,119,1,2,4,1,4,옵션 | 단가,사각자물쇠 (자물쇠변형) 40x69 | 하트자물쇠 (하트A) 43x71 | 하트 (하트B) 59x54 | 원형 (원형B) 68x70
스티커,STK_KISSCUT_PRINT,스티커_반칼_제작가,4,42,1,20,38,19,648,옵션 | A5(4판) / 124 x186 mm (4판) | A4(2판) | A3(1판) | 90*190(6판) | A6(8판)/100*148(8판) | 90*110(12판),소재 / 수량(국4절) | 1.0 | 2.0 | 3.0 | 4.0 | 5.0 | 6.0 | 8.0 | 10.0 | 15.0 | 20.0 | 25.0 | 30.0 | 38.0 | 40.0 | 50.0 | 60.0 | 70.0 | 75.0 | 80.0 | 90.0 | 100.0 | 120.0 | 125.0 | 140.0 | 150.0 | 160.0 | 175.0 | 180.0 | 200.0 | 250.0 | 300.0 | 350.0 | 400.0 | 450.0 | 500.0 | 100000.0
스티커,STK_CUT_PRINT,스티커_완칼_제작가,50,56,1,6,6,5,30,옵션/ 제작수량 | A4 | B4 | A3 | B3 | A2,1.0 | 20.0 | 50.0 | 100.0 | 200.0 | 300.0
스티커,STK_CUT_CLEAR_PRINT,스티커_완칼투명_제작가,63,69,1,6,6,5,30,옵션/ 제작수량 | A4 | B4 | A3 | B3 | A2,1.0 | 20.0 | 50.0 | 100.0 | 200.0 | 300.0
스티커,STK_CUT_LARGE_PRINT,스티커_완칼대형_제작가,76,82,1,2,6,1,6,옵션/ 제작수량 | 400x600,1.0 | 20.0 | 50.0 | 100.0 | 200.0 | 300.0
스티커,STK_TATTOO_SETUP,스티커_타투_기본가,89,90,1,2,1,1,1,옵션/ 제작수량 | 90x190,기본가
스티커,STK_TATTOO_PRINT,스티커_타투_제작가,89,91,5,6,2,1,2,옵션/ 제작수량 | 90x190,1.0 | 1000.0
스티커,STK_STICKERPACK_FINAL,스티커_스티커팩_제작가,104,107,1,3,3,2,4,옵션/ 제작수량 | 75x105,1.0 | 1000.0
포스터사인,POSTER_PHOTOPAPER_PRINT,포스터_인화지_출력가,4,17,1,6,13,5,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_PAPER_PRINT,포스터_매트지_출력가,23,36,1,4,13,3,39,가로 / 세로 | 600mm | 800mm | 900mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_PET_PRINT,포스터_PET_출력가,42,55,1,6,13,5,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_PVC_PRINT,포스터_PVC_출력가,61,74,1,6,13,5,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_CLEARPVC_PRINT,포스터_투명PVC_출력가,80,93,1,6,13,5,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_GRAPHIC_PRINT,포스터_그래픽천_출력가,99,112,1,6,13,5,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_LINEN_PRINT,포스터_린넨_출력가,118,131,1,6,13,5,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_LINEN_FINISHING,포스터_린넨_가공가,118,123,10,11,5,1,5,사이즈 / 가공옵션 | A3 / A2 / A1,오버로크 | 오버로크+리본끈 | 말아박기 | 말아박기+면끈 | 봉미싱(7cm)
포스터사인,POSTER_OXFORD_PRINT,포스터_캔버스옥스포드_출력가,137,150,1,6,13,5,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_LEATHER_PRINT,포스터_레더_출력가,156,169,1,6,13,5,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_TYVEK_PRINT,포스터_타이벡_출력가,175,188,1,6,13,5,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_MESH_PRINT,포스터_메쉬_출력가,194,207,1,6,13,5,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,600mm | 800mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm
포스터사인,POSTER_FORMBOARD_PRINT,포스터_폼보드_출력가,213,215,1,4,2,3,6,사이즈 / 옵션명 | A3 | A2 | A1,화이트보드 | 블랙보드
포스터사인,POSTER_FOAMEX_PRINT,포스터_포맥스_출력가,221,223,1,4,2,3,6,사이즈 / 옵션명 | A3 | A2 | A1,화이트포맥스(3mm) | 화이트포맥스(5mm)
포스터사인,POSTER_WOODPANEL_PRINT,포스터_나무판넬_출력가,229,230,1,4,1,3,3,사이즈 / 수량 | A3 | A2 | A1,1.0
포스터사인,POSTER_LEATHERPANEL_PRINT,포스터_레더아트액자_출력가,236,237,1,7,1,6,6,사이즈 / 수량 | 5x5 | 5x7 | 8x8 | 8x10 | A4 | A3,1.0
포스터사인,POSTER_HANGINGSCROLL_PRINT,포스터_족자_출력가,243,245,1,6,2,5,5,사이즈 / 수량 | A3 | A2 | A1 | 300*600 | 900*1200,1.0
포스터사인,POSTER_HANGINGCANVAS_PRINT,포스터_캔버스행잉_제작가,251,252,1,4,1,3,3,사이즈 / 수량 | A4 | A3 | A2,1.0
포스터사인,POSTER_HANGINGCANVAS_ADDON,포스터_캔버스행잉_부자재,251,253,10,13,2,3,6,사이즈 / 추가옵션 | A4 | A3 | A2,출력만 | 우드행거+면끈
포스터사인,POSTER_HANGINGLINEN_PRINT,포스터_린넨우드봉_제작가,260,261,1,4,1,3,3,사이즈 / 수량 | A4 | A3 | A2,1.0
포스터사인,POSTER_HANGINGLINEN_ADDON,포스터_린넨우드봉_부자재,260,262,10,13,2,3,6,사이즈 / 추가옵션 | A4 | A3 | A2,출력만 | 우드봉+면끈
포스터사인,POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,268,272,1,2,4,1,1,사이즈 / 수량 | 600x1800 mm,1.0
포스터사인,POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,279,280,1,2,1,1,1,사이즈 / 수량 | 600x1800 mm,1.0
포스터사인,POSTER_PLACARD_PRINT,포스터_일반현수막_출력가,287,303,1,7,16,6,80,가로 / 세로 | 900mm | 1000mm | 1200mm | 1500mm | 1750mm,900mm | 1000mm | 1200mm | 1400mm | 1600mm | 1800mm | 2000mm | 2200mm | 2400mm | 2600mm | 2800mm | 3000mm | 3500mm | 4000mm | 4500mm | 5000mm
