no,new_code,new_name,authority_axis_header,live_use_dims,product_cnt,screen_evidence,verdict
1,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,가로 / 세로 | 20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100m,"[""mat_cd""  ""siz_width""  ""siz_height""  ""min_qty""]",9,자재: 등록 9/9상품 | siz_width=직접입력(가로·세로 실측) | siz_height=직접입력(가로·세로 실측) | 수량=주문수량(화면 요소 아님),축=화면 등록과 일치
2,ACRYLIC_CLEAR15T_PRINT,아크릴_투명1.5T_출력가,가로 / 세로 | 20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100m,"[""mat_cd""  ""siz_width""  ""siz_height""  ""min_qty""]",0,자재: 걸린 상품 없음(그릇만 생성) | siz_width=직접입력(가로·세로 실측) | siz_height=직접입력(가로·세로 실측) | 수량=주문수량(화면 요소 아님),축=화면 등록과 일치
3,ACRYLIC_MIRROR3T_PRINT,아크릴_미러3T_출력가,가로 / 세로 | 20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100m,"[""siz_width""  ""siz_height""]",0,siz_width=직접입력(가로·세로 실측) | siz_height=직접입력(가로·세로 실측),축=화면 등록과 일치
4,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,아크릴키링 | 고리없음 | 0.0,"[""opt_cd""  ""min_qty""]",9,옵션그룹: 등록 9/9상품 | 수량=주문수량(화면 요소 아님),축=화면 등록과 일치
5,ACRYLIC_CLEAR8T_PRINT,아크릴_투명8T_출력가,가로 / 세로 | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm,"[""siz_width""  ""siz_height""  ""min_qty""]",1,siz_width=직접입력(가로·세로 실측) | siz_height=직접입력(가로·세로 실측) | 수량=주문수량(화면 요소 아님),축=화면 등록과 일치
6,ACRYLIC_CARABINER_FINAL,아크릴_카라비너_제작가,옵션 | 단가,"[""siz_cd""  ""min_qty""]",1,사이즈: 등록 1/1상품 | 수량=주문수량(화면 요소 아님),축=화면 등록과 일치
7,STK_KISSCUT_PRINT,스티커_반칼_제작가,옵션 | A5(4판) / 124 x186 mm (4판) | A4(2판) | A3(1판) | 90*190(6판) | A6(8판),"[""siz_cd"" ""mat_cd"" ""min_qty""]",12,사이즈: 등록 12/12상품 | 자재: 등록 12/12상품 | 수량=주문수량(화면 요소 아님),축=화면 등록과 일치
8,STK_CUT_PRINT,스티커_완칼_제작가,옵션/ 제작수량 | A4 | B4 | A3 | B3 | A2,"[""siz_cd"" ""mat_cd"" ""min_qty""]",12,사이즈: 등록 12/12상품 | 자재: 등록 12/12상품 | 수량=주문수량(화면 요소 아님),축=화면 등록과 일치
9,STK_CUT_CLEAR_PRINT,스티커_완칼투명_제작가,옵션/ 제작수량 | A4 | B4 | A3 | B3 | A2,"[""siz_cd"" ""mat_cd"" ""min_qty""]",12,사이즈: 등록 12/12상품 | 자재: 등록 12/12상품 | 수량=주문수량(화면 요소 아님),축=화면 등록과 일치
10,STK_CUT_LARGE_PRINT,스티커_완칼대형_제작가,옵션/ 제작수량 | 400x600,"[""siz_cd"" ""mat_cd"" ""min_qty""]",12,사이즈: 등록 12/12상품 | 자재: 등록 12/12상품 | 수량=주문수량(화면 요소 아님),축=화면 등록과 일치
