no,sheet,new_code,new_name,authority_loc,authority_cells,authority_axis,live_comp,live_prc_typ,live_use_dims,live_price_rows,formulas,formula_cnt,products_in_scope,products_out,products
1,아크릴,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,r4~r18 c1~c15,196,가로 / 세로 | 20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100m,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd""  ""siz_width""  ""siz_height""  ""min_qty""]",277,PRF_ACRYL_BADGE PRF_ACRYL_CLIP PRF_ACRYL_HAIRBAND PRF_ACRYL_KEYRING PRF_ACRYL_MAGNET PRF_ACRYL_NAMETAG PRF_ACRYL_SMARTTOK PRF_CLR_ACRYL,8,9,4,PRD_000146:아크릴키링 | PRD_000147:아크릴마그넷 | PRD_000148:아크릴뱃지 | PRD_000149:아크릴집게 | PRD_000150:아크릴스마트톡 | PRD_000152:아크릴명찰 | PRD_000154:아크릴 머리끈 | PRD_000159:아크릴코스터 | PRD_000161:판아크릴
2,아크릴,ACRYLIC_CLEAR15T_PRINT,아크릴_투명1.5T_출력가,r26~r35 c1~c11,90,가로 / 세로 | 20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100m,CLR_ACRYL_1.5T,PRICE_TYPE.01,"[""mat_cd""  ""siz_width""  ""siz_height""  ""min_qty""]",81,,0,0,0,
3,아크릴,ACRYLIC_MIRROR3T_PRINT,아크릴_미러3T_출력가,r42~r51 c1~c10,81,가로 / 세로 | 20mm | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm | 90mm | 100m,COMP_ACRYL_MIRROR3T,PRICE_TYPE.01,"[""siz_width""  ""siz_height""]",81,,0,0,0,
4,아크릴,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,r69~r94 c1~c4,25,아크릴키링 | 고리없음 | 0.0,COMP_ACRYL_FINISH,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""]",17,PRF_ACRYL_BADGE PRF_ACRYL_CLIP PRF_ACRYL_HAIRBAND PRF_ACRYL_KEYRING PRF_ACRYL_MAGNET PRF_ACRYL_NAMETAG PRF_ACRYL_NAMETAG_GS PRF_ACRYL_SMARTTOK PRF_ZIBITZ_ACRYL,9,9,1,PRD_000146:아크릴키링 | PRD_000147:아크릴마그넷 | PRD_000148:아크릴뱃지 | PRD_000149:아크릴집게 | PRD_000150:아크릴스마트톡 | PRD_000152:아크릴명찰 | PRD_000153:아크릴명찰(골드실버) | PRD_000154:아크릴 머리끈 | PRD_000156:아크릴지비츠
5,아크릴,ACRYLIC_CLEAR8T_PRINT,아크릴_투명8T_출력가,r101~r107 c1~c7,36,가로 / 세로 | 30mm | 40mm | 50mm | 60mm | 70mm | 80mm,COMP_ACRYL_COROTTO,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",36,PRF_COROTTO_ACRYL PRF_COROTTO_ACRYL_MTX,2,1,1,PRD_000164:아크릴코롯토
6,아크릴,ACRYLIC_CARABINER_FINAL,아크릴_카라비너_제작가,r115~r119 c1~c2,4,옵션 | 단가,COMP_ACRYL_CARABINER,PRICE_TYPE.02,"[""siz_cd""  ""min_qty""]",4,PRF_ACRYL_CARABINER,1,1,0,PRD_000166:아크릴카라비너
7,스티커,STK_KISSCUT_PRINT,스티커_반칼_제작가,r4~r42 c1~c20,648,옵션 | A5(4판) / 124 x186 mm (4판) | A4(2판) | A3(1판) | 90*190(6판) | A6(8판),COMP_STK_PRINT,,,,PRF_STK_FIXED,1,12,1,PRD_000052:반칼 자유형 스티커 | PRD_000053:반칼 자유형 투명스티커 | PRD_000054:반칼 자유형 홀로그램스티커 | PRD_000055:낱장 자유형 스티커 | PRD_000056:낱장 자유형 투명스티커 | PRD_000057:대형 자유형 스티커 | PRD_000058:반칼원형스티커 | PRD_000059:반칼정사각스티커 | PRD_000060:반칼직사각스티커 | PRD_000061:반칼띠지스티커 | PRD_000062:반칼팬시스티커 | PRD_000063:반칼팬시투명스티커
8,스티커,STK_CUT_PRINT,스티커_완칼_제작가,r50~r56 c1~c6,30,옵션/ 제작수량 | A4 | B4 | A3 | B3 | A2,COMP_STK_PRINT,,,,PRF_STK_FIXED,1,12,1,PRD_000052:반칼 자유형 스티커 | PRD_000053:반칼 자유형 투명스티커 | PRD_000054:반칼 자유형 홀로그램스티커 | PRD_000055:낱장 자유형 스티커 | PRD_000056:낱장 자유형 투명스티커 | PRD_000057:대형 자유형 스티커 | PRD_000058:반칼원형스티커 | PRD_000059:반칼정사각스티커 | PRD_000060:반칼직사각스티커 | PRD_000061:반칼띠지스티커 | PRD_000062:반칼팬시스티커 | PRD_000063:반칼팬시투명스티커
9,스티커,STK_CUT_CLEAR_PRINT,스티커_완칼투명_제작가,r63~r69 c1~c6,30,옵션/ 제작수량 | A4 | B4 | A3 | B3 | A2,COMP_STK_PRINT,,,,PRF_STK_FIXED,1,12,1,PRD_000052:반칼 자유형 스티커 | PRD_000053:반칼 자유형 투명스티커 | PRD_000054:반칼 자유형 홀로그램스티커 | PRD_000055:낱장 자유형 스티커 | PRD_000056:낱장 자유형 투명스티커 | PRD_000057:대형 자유형 스티커 | PRD_000058:반칼원형스티커 | PRD_000059:반칼정사각스티커 | PRD_000060:반칼직사각스티커 | PRD_000061:반칼띠지스티커 | PRD_000062:반칼팬시스티커 | PRD_000063:반칼팬시투명스티커
10,스티커,STK_CUT_LARGE_PRINT,스티커_완칼대형_제작가,r76~r82 c1~c2,6,옵션/ 제작수량 | 400x600,COMP_STK_PRINT,,,,PRF_STK_FIXED,1,12,1,PRD_000052:반칼 자유형 스티커 | PRD_000053:반칼 자유형 투명스티커 | PRD_000054:반칼 자유형 홀로그램스티커 | PRD_000055:낱장 자유형 스티커 | PRD_000056:낱장 자유형 투명스티커 | PRD_000057:대형 자유형 스티커 | PRD_000058:반칼원형스티커 | PRD_000059:반칼정사각스티커 | PRD_000060:반칼직사각스티커 | PRD_000061:반칼띠지스티커 | PRD_000062:반칼팬시스티커 | PRD_000063:반칼팬시투명스티커
11,스티커,STK_TATTOO_SETUP,스티커_타투_기본가,r89~r90 c1~c2,1,옵션/ 제작수량 | 90x190,COMP_STK_TATTOO,PRICE_TYPE.02,"[""siz_cd""  ""mat_cd""  ""min_qty""]",333,PRF_STK_TATTOO,1,1,0,PRD_000067:타투스티커
12,스티커,STK_TATTOO_PRINT,스티커_타투_제작가,r89~r91 c5~c6,2,옵션/ 제작수량 | 90x190,COMP_STK_TATTOO,PRICE_TYPE.02,"[""siz_cd""  ""mat_cd""  ""min_qty""]",333,PRF_STK_TATTOO,1,1,0,PRD_000067:타투스티커
13,포스터사인,POSTER_PHOTOPAPER_PRINT,포스터_인화지_출력가,r4~r17 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_ARTPRINT_PHOTO,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_ADH_WP PRF_POSTER_ARTFABRIC PRF_POSTER_ARTPRINT PRF_POSTER_FIXED PRF_POSTER_WATERPROOF,5,4,0,PRD_000118:아트프린트포스터 | PRD_000120:방수포스터 | PRD_000121:접착방수포스터 | PRD_000123:아트패브릭포스터
14,포스터사인,POSTER_PAPER_PRINT,포스터_매트지_출력가,r23~r36 c1~c4,39,가로 / 세로 | 600mm | 800mm | 900mm,COMP_POSTER_ARTPAPER_MATTE,PRICE_TYPE.01,"[""siz_width""  ""siz_height""]",39,PRF_POSTER_ARTPAPER,1,1,0,PRD_000119:아트페이퍼포스터
15,포스터사인,POSTER_PET_PRINT,포스터_PET_출력가,r42~r55 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_ARTPRINT_PHOTO,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_ADH_WP PRF_POSTER_ARTFABRIC PRF_POSTER_ARTPRINT PRF_POSTER_FIXED PRF_POSTER_WATERPROOF,5,4,0,PRD_000118:아트프린트포스터 | PRD_000120:방수포스터 | PRD_000121:접착방수포스터 | PRD_000123:아트패브릭포스터
16,포스터사인,POSTER_PVC_PRINT,포스터_PVC_출력가,r61~r74 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_ARTPRINT_PHOTO,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_ADH_WP PRF_POSTER_ARTFABRIC PRF_POSTER_ARTPRINT PRF_POSTER_FIXED PRF_POSTER_WATERPROOF,5,4,0,PRD_000118:아트프린트포스터 | PRD_000120:방수포스터 | PRD_000121:접착방수포스터 | PRD_000123:아트패브릭포스터
17,포스터사인,POSTER_CLEARPVC_PRINT,포스터_투명PVC_출력가,r80~r93 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_ADH_CLEAR_PVC,PRICE_TYPE.01,"[""siz_width""  ""siz_height""]",52,PRF_POSTER_ADH_CLEAR,1,1,0,PRD_000122:접착투명포스터
18,포스터사인,POSTER_GRAPHIC_PRINT,포스터_그래픽천_출력가,r99~r112 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_ARTPRINT_PHOTO,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_ADH_WP PRF_POSTER_ARTFABRIC PRF_POSTER_ARTPRINT PRF_POSTER_FIXED PRF_POSTER_WATERPROOF,5,4,0,PRD_000118:아트프린트포스터 | PRD_000120:방수포스터 | PRD_000121:접착방수포스터 | PRD_000123:아트패브릭포스터
19,포스터사인,POSTER_LINEN_PRINT,포스터_린넨_출력가,r118~r131 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_LINEN_FABRIC,PRICE_TYPE.01,"[""siz_width""  ""siz_height""]",52,PRF_POSTER_LINEN,1,1,0,PRD_000124:린넨패브릭포스터
20,포스터사인,POSTER_OXFORD_PRINT,포스터_캔버스옥스포드_출력가,r137~r150 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_CANVAS PRF_POSTER_LEATHER_AP PRF_POSTER_MESH PRF_POSTER_TYVEK,4,4,0,PRD_000125:캔버스패브릭포스터 | PRD_000126:레더아트프린트 | PRD_000127:타이벡프린트 | PRD_000128:메쉬프린트
21,포스터사인,POSTER_LEATHER_PRINT,포스터_레더_출력가,r156~r169 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_CANVAS PRF_POSTER_LEATHER_AP PRF_POSTER_MESH PRF_POSTER_TYVEK,4,4,0,PRD_000125:캔버스패브릭포스터 | PRD_000126:레더아트프린트 | PRD_000127:타이벡프린트 | PRD_000128:메쉬프린트
22,포스터사인,POSTER_TYVEK_PRINT,포스터_타이벡_출력가,r175~r188 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_CANVAS PRF_POSTER_LEATHER_AP PRF_POSTER_MESH PRF_POSTER_TYVEK,4,4,0,PRD_000125:캔버스패브릭포스터 | PRD_000126:레더아트프린트 | PRD_000127:타이벡프린트 | PRD_000128:메쉬프린트
23,포스터사인,POSTER_MESH_PRINT,포스터_메쉬_출력가,r194~r207 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_CANVAS PRF_POSTER_LEATHER_AP PRF_POSTER_MESH PRF_POSTER_TYVEK,4,4,0,PRD_000125:캔버스패브릭포스터 | PRD_000126:레더아트프린트 | PRD_000127:타이벡프린트 | PRD_000128:메쉬프린트
