prd_cd,prd_nm,in_scope,reason
PRD_000052,반칼 자유형 스티커,Y,살아있음+게시위젯
PRD_000053,반칼 자유형 투명스티커,Y,살아있음+게시위젯
PRD_000054,반칼 자유형 홀로그램스티커,Y,살아있음+게시위젯
PRD_000055,낱장 자유형 스티커,Y,살아있음+게시위젯
PRD_000056,낱장 자유형 투명스티커,Y,살아있음+게시위젯
PRD_000057,대형 자유형 스티커,Y,살아있음+게시위젯
PRD_000058,반칼원형스티커,Y,살아있음+게시위젯
PRD_000059,반칼정사각스티커,Y,살아있음+게시위젯
PRD_000060,반칼직사각스티커,Y,살아있음+게시위젯
PRD_000061,반칼띠지스티커,Y,살아있음+게시위젯
PRD_000062,반칼팬시스티커,Y,살아있음+게시위젯
PRD_000063,반칼팬시투명스티커,Y,살아있음+게시위젯
PRD_000067,타투스티커,Y,살아있음+게시위젯
PRD_000118,아트프린트포스터,Y,살아있음+게시위젯
PRD_000119,아트페이퍼포스터,Y,살아있음+게시위젯
PRD_000120,방수포스터,Y,살아있음+게시위젯
PRD_000121,접착방수포스터,Y,살아있음+게시위젯
PRD_000122,접착투명포스터,Y,살아있음+게시위젯
PRD_000123,아트패브릭포스터,Y,살아있음+게시위젯
PRD_000124,린넨패브릭포스터,Y,살아있음+게시위젯
PRD_000125,캔버스패브릭포스터,Y,살아있음+게시위젯
PRD_000126,레더아트프린트,Y,살아있음+게시위젯
PRD_000127,타이벡프린트,Y,살아있음+게시위젯
PRD_000128,메쉬프린트,Y,살아있음+게시위젯
PRD_000129,폼보드,Y,살아있음+게시위젯
PRD_000130,포맥스보드,Y,살아있음+게시위젯
PRD_000131,프레임리스우드액자,Y,살아있음+게시위젯
PRD_000132,레더아트액자,Y,살아있음+게시위젯
PRD_000133,캔버스 행잉포스터,Y,살아있음+게시위젯
PRD_000134,린넨우드봉족자,Y,살아있음+게시위젯
PRD_000135,족자포스터,Y,살아있음+게시위젯
PRD_000136,PET배너,Y,살아있음+게시위젯
PRD_000137,메쉬배너,Y,살아있음+게시위젯
PRD_000138,일반현수막,Y,살아있음+게시위젯
PRD_000139,메쉬현수막,Y,살아있음+게시위젯
PRD_000140,무광시트커팅,Y,살아있음+게시위젯
PRD_000141,홀로그램 시트커팅,Y,살아있음+게시위젯
PRD_000142,유광아크릴스티커,Y,살아있음+게시위젯
PRD_000143,미러아크릴스티커,Y,살아있음+게시위젯
PRD_000144,미니보드스탠딩,Y,살아있음+게시위젯
PRD_000145,미니배너,Y,살아있음+게시위젯
PRD_000146,아크릴키링,Y,살아있음+게시위젯
PRD_000147,아크릴마그넷,Y,살아있음+게시위젯
PRD_000148,아크릴뱃지,Y,살아있음+게시위젯
PRD_000149,아크릴집게,Y,살아있음+게시위젯
PRD_000150,아크릴스마트톡,Y,살아있음+게시위젯
PRD_000152,아크릴명찰,Y,살아있음+게시위젯
PRD_000153,아크릴명찰(골드실버),Y,살아있음+게시위젯
PRD_000154,아크릴 머리끈,Y,살아있음+게시위젯
PRD_000156,아크릴지비츠,Y,살아있음+게시위젯
PRD_000159,아크릴코스터,Y,살아있음+게시위젯
PRD_000161,판아크릴,Y,살아있음+게시위젯
PRD_000164,아크릴코롯토,Y,살아있음+게시위젯
PRD_000166,아크릴카라비너,Y,살아있음+게시위젯
PRD_000151,맥세이프 스마트톡,N,게시위젯 없음(위젯 1)
PRD_000157,아크릴네임택,N,게시위젯 없음(위젯 1)
PRD_000158,아크릴 포카키링,N,게시위젯 없음(위젯 1)
PRD_000162,아크릴포카스탠드,N,게시위젯 없음(위젯 1)
PRD_000171,지비츠★,N,게시위젯 없음(위젯 0)
PRD_000064,소량자유형스티커,N,사용중지 상품
PRD_000165,아크릴포카코롯토,N,사용중지 상품
