live_comp,frm_cd,frm_nm,frm_use,prd_cd,prd_nm,prd_use,nonspec,new_codes
COMP_ACRYL_CARABINER,PRF_ACRYL_CARABINER,아크릴카라비너 공식,Y,PRD_000166,아크릴카라비너,Y,N,ACRYLIC_CARABINER_FINAL
COMP_ACRYL_CLEAR3T,PRF_ACRYL_BADGE,아크릴뱃지 공식,Y,PRD_000148,아크릴뱃지,Y,Y,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_ACRYL_CLIP,아크릴집게 공식,Y,PRD_000149,아크릴집게,Y,Y,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_ACRYL_HAIRBAND,아크릴머리끈 공식,Y,PRD_000154,아크릴 머리끈,Y,Y,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_ACRYL_KEYRING,아크릴키링 공식,Y,PRD_000146,아크릴키링,Y,Y,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_ACRYL_MAGNET,아크릴마그넷 공식,Y,PRD_000147,아크릴마그넷,Y,Y,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_ACRYL_NAMETAG,아크릴명찰 공식,Y,PRD_000152,아크릴명찰,Y,Y,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_ACRYL_SMARTTOK,아크릴스마트톡 공식,Y,PRD_000150,아크릴스마트톡,Y,Y,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_CLR_ACRYL,투명 아크릴 공식,Y,PRD_000151,맥세이프 스마트톡,Y,Y,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_CLR_ACRYL,투명 아크릴 공식,Y,PRD_000157,아크릴네임택,Y,N,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_CLR_ACRYL,투명 아크릴 공식,Y,PRD_000158,아크릴 포카키링,Y,N,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_CLR_ACRYL,투명 아크릴 공식,Y,PRD_000159,아크릴코스터,Y,N,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_CLR_ACRYL,투명 아크릴 공식,Y,PRD_000161,판아크릴,Y,N,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_CLEAR3T,PRF_CLR_ACRYL,투명 아크릴 공식,Y,PRD_000162,아크릴포카스탠드,Y,N,ACRYLIC_CLEAR3T_PRINT
COMP_ACRYL_COROTTO,PRF_COROTTO_ACRYL,아크릴코롯토 공식,Y,PRD_000164,아크릴코롯토,Y,Y,ACRYLIC_CLEAR8T_PRINT
COMP_ACRYL_COROTTO,PRF_COROTTO_ACRYL_MTX,아크릴 코롯토 계열 공통 (가로x세로 매트릭스),Y,PRD_000165,아크릴포카코롯토,N,N,ACRYLIC_CLEAR8T_PRINT
COMP_ACRYL_FINISH,PRF_ACRYL_BADGE,아크릴뱃지 공식,Y,PRD_000148,아크릴뱃지,Y,Y,ACRYLIC_TOTAL_FINISHING
COMP_ACRYL_FINISH,PRF_ACRYL_CLIP,아크릴집게 공식,Y,PRD_000149,아크릴집게,Y,Y,ACRYLIC_TOTAL_FINISHING
COMP_ACRYL_FINISH,PRF_ACRYL_HAIRBAND,아크릴머리끈 공식,Y,PRD_000154,아크릴 머리끈,Y,Y,ACRYLIC_TOTAL_FINISHING
COMP_ACRYL_FINISH,PRF_ACRYL_KEYRING,아크릴키링 공식,Y,PRD_000146,아크릴키링,Y,Y,ACRYLIC_TOTAL_FINISHING
COMP_ACRYL_FINISH,PRF_ACRYL_MAGNET,아크릴마그넷 공식,Y,PRD_000147,아크릴마그넷,Y,Y,ACRYLIC_TOTAL_FINISHING
COMP_ACRYL_FINISH,PRF_ACRYL_NAMETAG,아크릴명찰 공식,Y,PRD_000152,아크릴명찰,Y,Y,ACRYLIC_TOTAL_FINISHING
COMP_ACRYL_FINISH,PRF_ACRYL_NAMETAG_GS,아크릴명찰(골드실버) 공식,Y,PRD_000153,아크릴명찰(골드실버),Y,Y,ACRYLIC_TOTAL_FINISHING
COMP_ACRYL_FINISH,PRF_ACRYL_SMARTTOK,아크릴스마트톡 공식,Y,PRD_000150,아크릴스마트톡,Y,Y,ACRYLIC_TOTAL_FINISHING
COMP_ACRYL_FINISH,PRF_ZIBITZ_ACRYL,아크릴지비츠 가공단가,Y,PRD_000156,아크릴지비츠,Y,Y,ACRYLIC_TOTAL_FINISHING
COMP_ACRYL_FINISH,PRF_ZIBITZ_ACRYL,아크릴지비츠 가공단가,Y,PRD_000171,지비츠★,Y,Y,ACRYLIC_TOTAL_FINISHING
COMP_BANNER_ADDON,PRF_POSTER_BANNER_N,일반현수막 완제품가(면적/규격 단가),Y,PRD_000138,일반현수막,Y,Y,POSTER_PLACARD_ADDON
COMP_BANNER_OPTION,PRF_POSTER_BANNER_N,일반현수막 완제품가(면적/규격 단가),Y,PRD_000138,일반현수막,Y,Y,POSTER_PLACARD_FINISHING
COMP_POSTER_ACRYLSTK_GLOSS,PRF_POSTER_ACRYLSTK_GLOSS,유광아크릴스티커 완제품가(면적/규격 단가),Y,PRD_000142,유광아크릴스티커,Y,N,POSTER_ACRYLICSTICKER_FINAL
COMP_POSTER_ACRYLSTK_MIRROR,PRF_POSTER_ACRYLSTK_MIRROR,미러아크릴스티커 완제품가(면적/규격 단가),Y,PRD_000143,미러아크릴스티커,Y,N,POSTER_ACRYLICSTICKER_FINAL
COMP_POSTER_ADH_CLEAR_PVC,PRF_POSTER_ADH_CLEAR,접착투명포스터 완제품가(면적/규격 단가),Y,PRD_000122,접착투명포스터,Y,Y,POSTER_CLEARPVC_PRINT
COMP_POSTER_ARTPAPER_MATTE,PRF_POSTER_ARTPAPER,아트페이퍼포스터 완제품가(면적/규격 단가),Y,PRD_000119,아트페이퍼포스터,Y,Y,POSTER_PAPER_PRINT
COMP_POSTER_ARTPRINT_PHOTO,PRF_POSTER_ADH_WP,접착방수포스터 완제품가(면적/규격 단가),Y,PRD_000121,접착방수포스터,Y,Y,POSTER_PHOTOPAPER_PRINT / POSTER_PET_PRINT / POSTER_PVC_PRINT / POSTER_GRAPHIC_PRINT
COMP_POSTER_ARTPRINT_PHOTO,PRF_POSTER_ARTFABRIC,아트패브릭포스터 완제품가(면적/규격 단가),Y,PRD_000123,아트패브릭포스터,Y,Y,POSTER_PHOTOPAPER_PRINT / POSTER_PET_PRINT / POSTER_PVC_PRINT / POSTER_GRAPHIC_PRINT
