comp_cd,계열,축,분모종수,상한종수,밖건수,밖목록,판정
COMP_ACRYL_CARABINER,C-4 권위귀속,(전 원소),4,4,0,,귀속 없는 원소 0건
COMP_ACRYL_CLEAR3T,C-3 상품축이탈,mat_cd,2,15,1,MAT_000387,이탈 1건 — 격자에 남긴다(제거 0)
COMP_ACRYL_CLEAR3T,C-4 권위귀속,(전 원소),277,277,0,,귀속 없는 원소 0건
COMP_ACRYL_COROTTO,C-4 권위귀속,(전 원소),36,36,0,,귀속 없는 원소 0건
COMP_ACRYL_MIRROR3T,C-4 권위귀속,(전 원소),81,81,0,,귀속 없는 원소 0건
COMP_BIND_CAL_WALL,C-2 스코프,proc_cd(PROC_000017),4,12,0,,⊆ 성립
COMP_BIND_CAL_WALL,C-4 권위귀속,(전 원소),24,24,0,,귀속 없는 원소 0건
COMP_BIND_SSABARI,C-2 스코프,proc_cd(PROC_000017),3,12,0,,⊆ 성립
COMP_BIND_SSABARI,C-4 권위귀속,(전 원소),18,18,0,,귀속 없는 원소 0건
COMP_BIND_TWINRING,C-2 스코프,proc_cd(PROC_000017),4,12,0,,⊆ 성립
COMP_BIND_TWINRING,C-4 권위귀속,(전 원소),32,32,0,,귀속 없는 원소 0건
COMP_COAT_GLOSSY,C-1 FK필터,plt_siz_cd,2,21,0,,⊆ 성립
COMP_COAT_GLOSSY,C-2 스코프,proc_cd(PROC_000013),1,2,0,,⊆ 성립
COMP_COAT_GLOSSY,C-4 권위귀속,(전 원소),92,92,0,,귀속 없는 원소 0건
COMP_COAT_MATTE,C-1 FK필터,plt_siz_cd,2,21,0,,⊆ 성립
COMP_COAT_MATTE,C-2 스코프,proc_cd(PROC_000013),1,2,0,,⊆ 성립
COMP_COAT_MATTE,C-4 권위귀속,(전 원소),92,92,0,,귀속 없는 원소 0건
COMP_CUT_FULL_DIECUT,C-1 FK필터,plt_siz_cd,1,21,0,,⊆ 성립
COMP_CUT_FULL_DIECUT,C-4 권위귀속,(전 원소),36,36,0,,귀속 없는 원소 0건
COMP_CUT_PERF_1H6,C-2 스코프,proc_cd(PROC_000079),1,4,0,,⊆ 성립
COMP_CUT_PERF_1H6,C-4 권위귀속,(전 원소),23,23,0,,귀속 없는 원소 0건
COMP_ENV_MAKING,C-3 상품축이탈,mat_cd,2,3,0,,이탈 0건 — 격자에 남긴다(제거 0)
