sheet,block_id,title,geometry,band_depth,n_rows,n_cols,n_cells,header_row,source_file,notes
아크릴,B01,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,recovered,1,14,14,196,2,price-acrylic-price-l1.csv,"data_start_row=None — header_rows[0]=2 만 헤더로 복구, 데이터행 14개"
아크릴,B02,투명아크릴1.5T (직접입력형) 양면9도 / 단면7도 통용 단가,recovered,1,9,9,81,22,price-acrylic-price-l1.csv,"data_start_row=None — header_rows[0]=22 만 헤더로 복구, 데이터행 9개"
아크릴,B03,미러아크릴3T (직접입력형) 전면5도 통용 단가,recovered,1,9,9,81,36,price-acrylic-price-l1.csv,"data_start_row=None — header_rows[0]=36 만 헤더로 복구, 데이터행 9개"
아크릴,B04,아크릴상품 수량별 구간할인,recovered,1,18,1,6,50,price-acrylic-price-l1.csv,"data_start_row=None — header_rows[0]=50 만 헤더로 복구, 데이터행 34개"
아크릴,B05,아크릴코롯토,recovered,1,6,6,36,91,price-acrylic-price-l1.csv,"data_start_row=None — header_rows[0]=91 만 헤더로 복구, 데이터행 6개"
아크릴,B06,아크릴카라비너 (투명아크릴 3T+3T 접합),recovered,1,4,1,4,103,price-acrylic-price-l1.csv,"data_start_row=None — header_rows[0]=103 만 헤더로 복구, 데이터행 4개"
아크릴,B07,아크릴카라비너 수량별 구간할인,recovered,1,3,2,3,103,price-acrylic-price-l1.csv,"data_start_row=None — header_rows[0]=103 만 헤더로 복구, 데이터행 3개"
제본,B01,제본비,declared,1,8,4,32,2,price-binding-l1.csv,
제본,B02,하드커버 제본비,declared,1,6,3,18,15,price-binding-l1.csv,
제본,B03,캘린더 제본비,declared,1,6,4,24,26,price-binding-l1.csv,
코팅,B01,코팅(국4절),declared,2,23,4,92,2,price-coating-l1.csv,
코팅,B02,코팅(3절),declared,2,23,4,92,32,price-coating-l1.csv,
커팅타공,B01,커팅(완칼) 가공비 (국4절),declared,1,36,1,36,2,price-cutting-l1.csv,
커팅타공,B02,1장당 2000원씩 올립니다.,unresolved,0,0,0,0,,price-cutting-l1.csv,header_rows 비어 있음 — 기하 미확정
커팅타공,B03,타공 (단가),declared,1,23,3,50,43,price-cutting-l1.csv,
디지털인쇄비,B01,디지털인쇄 출력비(국4절),declared,2,54,14,742,2,price-digital-print-price-l1.csv,
디지털인쇄비,B02,디지털인쇄 출력비(3절),declared,2,53,4,212,62,price-digital-print-price-l1.csv,
봉투제작,B01,봉투제작,declared,2,5,8,40,2,price-envelope-l1.csv,
후가공_박(대형),B01,동판비,recovered,1,8,8,64,2,price-foil-large-l1.csv,"data_start_row=None — header_rows[0]=2 만 헤더로 복구, 데이터행 8개"
후가공_박(대형),B02,*아연판,unresolved,0,0,0,0,,price-foil-large-l1.csv,header_rows 비어 있음 — 기하 미확정
후가공_박(대형),B03,"대형박 가공비 일반박 면적당가격 정의 (금유광, 금무광, 은유광, 은무광,동박,청박)",recovered,1,8,14,48,15,price-foil-large-l1.csv,"data_start_row=None — header_rows[0]=15 만 헤더로 복구, 데이터행 13개"
후가공_박(대형),B04,"대형박 가공비 특수박 면적당가격 정의 (먹유광, 백박, 홀로그램, 트윙클, 적박, 녹박)",recovered,1,8,8,0,35,price-foil-large-l1.csv,"data_start_row=None — header_rows[0]=35 만 헤더로 복구, 데이터행 8개"
후가공_박(대형),B05,"대형박 가공비 특수박 수량별 가격 (먹유광, 백박, 홀로그램, 트윙클, 적박, 녹박)",declared,1,13,6,78,35,price-foil-large-l1.csv,
후가공_박(소형),B01,동판비,declared,1,2,1,1,2,price-foil-small-l1.csv,
후가공_박(소형),B02,"소형박 가공비 일반박 면적당가격 정의 (금유광, 은유광, 먹유광, 청박, 적박, 동박, 펄박)",recovered,1,3,5,0,9,price-foil-small-l1.csv,"data_start_row=None — header_rows[0]=9 만 헤더로 복구, 데이터행 3개"
후가공_박(소형),B03,"소형박 가공비 일반박 수량별 가격 (금유광, 은유광, 먹유광, 청박, 적박, 동박, 펄박)",declared,1,18,6,108,9,price-foil-small-l1.csv,
후가공_박(소형),B04,"소형박 가공비 특수박 면적당가격 정의 (백박, 홀로그램박, 트윙클박)",recovered,1,3,5,0,32,price-foil-small-l1.csv,"data_start_row=None — header_rows[0]=32 만 헤더로 복구, 데이터행 3개"
후가공_박(소형),B05,"소형박 가공비 특수박 수량별 가격 (백박, 홀로그램박, 트윙클박)",declared,1,18,6,108,32,price-foil-small-l1.csv,
접지옵션,B01,카드접지 단가 (오시+접지),declared,2,48,3,144,2,price-folding-l1.csv,
접지옵션,B02,리플렛 접지 단가 (오시+접지),declared,1,48,4,192,57,price-folding-l1.csv,
합판도무송스티커,B01,합판 도무송 스티커(원형),declared,2,5,22,110,2,price-gangpan-sticker-l1.csv,
합판도무송스티커,B02,합판 도무송 스티커(정사각),declared,2,5,24,120,13,price-gangpan-sticker-l1.csv,
합판도무송스티커,B03,합판 도무송 스티커 (직사각),declared,2,5,28,140,24,price-gangpan-sticker-l1.csv,
굿즈파우치(구간할인),B01,파우치상품 수량별 구간할인,recovered,1,5,1,5,2,price-goods-pouch-discount-l1.csv,"data_start_row=None — header_rows[0]=2 만 헤더로 복구, 데이터행 5개"
굿즈파우치(구간할인),B02,문구상품 수량별 구간할인,recovered,1,5,1,5,11,price-goods-pouch-discount-l1.csv,"data_start_row=None — header_rows[0]=11 만 헤더로 복구, 데이터행 5개"
굿즈파우치(구간할인),B03,굿즈상품 수량별 구간할인 A타입,recovered,1,5,1,5,20,price-goods-pouch-discount-l1.csv,"data_start_row=None — header_rows[0]=20 만 헤더로 복구, 데이터행 5개"
굿즈파우치(구간할인),B04,굿즈상품 수량별 구간할인 B타입,recovered,1,3,1,3,29,price-goods-pouch-discount-l1.csv,"data_start_row=None — header_rows[0]=29 만 헤더로 복구, 데이터행 3개"
굿즈파우치(구간할인),B05,말랑상품 수량별 구간할인,declared,1,8,1,8,36,price-goods-pouch-discount-l1.csv,
명함포토카드,B01,스탠다드명함,declared,2,1,4,4,2,price-namecard-photocard-l1.csv,
명함포토카드,B02,프리미엄명함,declared,2,1,5,4,9,price-namecard-photocard-l1.csv,
명함포토카드,B03,코팅명함,declared,2,1,4,4,16,price-namecard-photocard-l1.csv,
명함포토카드,B04,펄명함 (스타드림),declared,2,1,4,4,23,price-namecard-photocard-l1.csv,
