sheet,block_id,block_title,geometry,col_label,n_cells,reason_class,reason
아크릴,B04,아크릴상품 수량별 구간할인,recovered,,6,out-of-scope-discount,구간할인 표 — 단가표가 아니다(할인 테이블 계열). 범위 밖
아크릴,B07,아크릴카라비너 수량별 구간할인,recovered,,3,out-of-scope-discount,구간할인 표 — 단가표가 아니다(할인 테이블 계열). 범위 밖
커팅타공,B02,1장당 2000원씩 올립니다.,unresolved,,0,geometry-unresolved,수치셀 0 — 기하 unresolved
디지털인쇄비,B02,디지털인쇄 출력비(3절),declared,흑백(1도) > 양면,212,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_PRINT_DIGITAL_S2 / COMP_PRINT_DIGITAL_S1 — 스코프 판별도 갈리지 않음
디지털인쇄비,B02,디지털인쇄 출력비(3절),declared,칼라(CMYK) > 양면,212,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_PRINT_DIGITAL_S2 / COMP_PRINT_DIGITAL_S1 — 스코프 판별도 갈리지 않음
후가공_박(대형),B01,동판비,recovered,30mm,64,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_EMBOSS_SETUP_LARGE / COMP_FOIL_SETUP_LARGE — 스코프 판별도 갈리지 않음
후가공_박(대형),B01,동판비,recovered,50mm,64,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_EMBOSS_SETUP_LARGE / COMP_FOIL_SETUP_LARGE — 스코프 판별도 갈리지 않음
후가공_박(대형),B01,동판비,recovered,70mm,64,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_EMBOSS_SETUP_LARGE / COMP_FOIL_SETUP_LARGE — 스코프 판별도 갈리지 않음
후가공_박(대형),B01,동판비,recovered,90mm,64,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_EMBOSS_SETUP_LARGE / COMP_FOIL_SETUP_LARGE — 스코프 판별도 갈리지 않음
후가공_박(대형),B01,동판비,recovered,110mm,64,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_EMBOSS_SETUP_LARGE / COMP_FOIL_SETUP_LARGE — 스코프 판별도 갈리지 않음
후가공_박(대형),B01,동판비,recovered,130mm,64,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_EMBOSS_SETUP_LARGE / COMP_FOIL_SETUP_LARGE — 스코프 판별도 갈리지 않음
후가공_박(대형),B01,동판비,recovered,150mm,64,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_EMBOSS_SETUP_LARGE / COMP_FOIL_SETUP_LARGE — 스코프 판별도 갈리지 않음
후가공_박(대형),B01,동판비,recovered,170mm,64,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_EMBOSS_SETUP_LARGE / COMP_FOIL_SETUP_LARGE — 스코프 판별도 갈리지 않음
후가공_박(대형),B02,*아연판,unresolved,,0,geometry-unresolved,수치셀 0 — 기하 unresolved
후가공_박(대형),B03,"대형박 가공비 일반박 면적당가격 정의 (금유광, 금무광, 은유광, 은무광,동박,청박)",recovered,분류 / 수량,48,ambiguous-tie,동점 후보 4개(여백 0.020 미만): COMP_COAT_MATTE / COMP_COAT_GLOSSY / COMP_PRINT_DIGITAL_S2 / COMP_PRINT_DIGITAL_S1 — 스코프 판별도 갈리지 않음
후가공_박(대형),B03,"대형박 가공비 일반박 면적당가격 정의 (금유광, 금무광, 은유광, 은무광,동박,청박)",recovered,A,48,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_FOIL_PROC_LARGE_STD / COMP_EMBOSS_PROC_LARGE_STD — 스코프 판별도 갈리지 않음
후가공_박(대형),B03,"대형박 가공비 일반박 면적당가격 정의 (금유광, 금무광, 은유광, 은무광,동박,청박)",recovered,B,48,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_FOIL_PROC_LARGE_STD / COMP_EMBOSS_PROC_LARGE_STD — 스코프 판별도 갈리지 않음
후가공_박(대형),B03,"대형박 가공비 일반박 면적당가격 정의 (금유광, 금무광, 은유광, 은무광,동박,청박)",recovered,C,48,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_FOIL_PROC_LARGE_STD / COMP_EMBOSS_PROC_LARGE_STD — 스코프 판별도 갈리지 않음
후가공_박(대형),B03,"대형박 가공비 일반박 면적당가격 정의 (금유광, 금무광, 은유광, 은무광,동박,청박)",recovered,D,48,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_FOIL_PROC_LARGE_STD / COMP_EMBOSS_PROC_LARGE_STD — 스코프 판별도 갈리지 않음
후가공_박(대형),B03,"대형박 가공비 일반박 면적당가격 정의 (금유광, 금무광, 은유광, 은무광,동박,청박)",recovered,E,48,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_FOIL_PROC_LARGE_STD / COMP_EMBOSS_PROC_LARGE_STD — 스코프 판별도 갈리지 않음
후가공_박(대형),B04,"대형박 가공비 특수박 면적당가격 정의 (먹유광, 백박, 홀로그램, 트윙클, 적박, 녹박)",recovered,,0,geometry-unresolved,수치셀 0 — 기하 recovered
후가공_박(소형),B01,동판비,declared,80x40mm,1,ambiguous-tie,동점 후보 4개(여백 0.020 미만): COMP_EMBOSS_SETUP_SMALL / COMP_FOIL_SETUP_SMALL / COMP_NAMECARD_FOIL_SETUP_S2_STD / COMP_NAMECARD_FOIL_SETUP_S1_STD — 스코프 판별도 갈리지 않음
후가공_박(소형),B02,"소형박 가공비 일반박 면적당가격 정의 (금유광, 은유광, 먹유광, 청박, 적박, 동박, 펄박)",recovered,,0,geometry-unresolved,수치셀 0 — 기하 recovered
후가공_박(소형),B03,"소형박 가공비 일반박 수량별 가격 (금유광, 은유광, 먹유광, 청박, 적박, 동박, 펄박)",declared,A,90,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_FOIL_PROC_SMALL_STD / COMP_EMBOSS_PROC_SMALL_STD — 스코프 판별도 갈리지 않음
후가공_박(소형),B03,"소형박 가공비 일반박 수량별 가격 (금유광, 은유광, 먹유광, 청박, 적박, 동박, 펄박)",declared,B,90,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_FOIL_PROC_SMALL_STD / COMP_EMBOSS_PROC_SMALL_STD — 스코프 판별도 갈리지 않음
후가공_박(소형),B03,"소형박 가공비 일반박 수량별 가격 (금유광, 은유광, 먹유광, 청박, 적박, 동박, 펄박)",declared,C,90,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_FOIL_PROC_SMALL_STD / COMP_EMBOSS_PROC_SMALL_STD — 스코프 판별도 갈리지 않음
후가공_박(소형),B03,"소형박 가공비 일반박 수량별 가격 (금유광, 은유광, 먹유광, 청박, 적박, 동박, 펄박)",declared,D,90,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_FOIL_PROC_SMALL_STD / COMP_EMBOSS_PROC_SMALL_STD — 스코프 판별도 갈리지 않음
후가공_박(소형),B03,"소형박 가공비 일반박 수량별 가격 (금유광, 은유광, 먹유광, 청박, 적박, 동박, 펄박)",declared,E,90,ambiguous-tie,동점 후보 2개(여백 0.020 미만): COMP_FOIL_PROC_SMALL_STD / COMP_EMBOSS_PROC_SMALL_STD — 스코프 판별도 갈리지 않음
후가공_박(소형),B04,"소형박 가공비 특수박 면적당가격 정의 (백박, 홀로그램박, 트윙클박)",recovered,,0,geometry-unresolved,수치셀 0 — 기하 recovered
굿즈파우치(구간할인),B01,파우치상품 수량별 구간할인,recovered,,5,out-of-scope-discount,구간할인 표 — 단가표가 아니다(할인 테이블 계열). 범위 밖
