prd_cd,prd_nm,dsc_tbl_cd,comp_cd,apply_bgn_ymd
PRD_000146,아크릴키링,DSC_ACR_QTY,COMP_ACRYL_CLEAR3T,2026-08-23
PRD_000146,아크릴키링,DSC_ACR_QTY,ACRYLIC_CLEAR3T_PRINT,2026-09-02
PRD_000147,아크릴마그넷,DSC_ACR_QTY,"",2026-08-25
PRD_000148,아크릴뱃지,DSC_ACR_QTY,"",2026-06-01
PRD_000149,아크릴집게,DSC_ACR_QTY,"",2026-08-25
PRD_000150,아크릴스마트톡,DSC_ACR_QTY,"",2026-06-01
PRD_000151,맥세이프 스마트톡,DSC_ACR_QTY,"",2026-06-01
PRD_000152,아크릴명찰,DSC_ACR_QTY,"",2026-06-01
PRD_000153,아크릴명찰(골드실버),DSC_ACR_QTY,"",2026-08-25
PRD_000154,아크릴 머리끈,DSC_ACR_QTY,"",2026-08-25
PRD_000155,아크릴볼펜,DSC_ACR_QTY,"",2026-08-25
PRD_000156,아크릴지비츠,DSC_ACR_QTY,"",2026-06-01
PRD_000157,아크릴네임택,DSC_ACR_QTY,"",2026-06-01
PRD_000158,아크릴 포카키링,DSC_ACR_QTY,"",2026-06-01
PRD_000159,아크릴코스터,DSC_ACR_QTY,"",2026-06-01
PRD_000160,아크릴자유형스탠드,DSC_ACR_QTY,"",2026-06-01
PRD_000161,판아크릴,DSC_ACR_QTY,"",2026-06-01
PRD_000162,아크릴포카스탠드,DSC_ACR_QTY,"",2026-06-01
PRD_000163,아크릴미니파츠,DSC_ACR_QTY,"",2026-06-01
PRD_000164,아크릴코롯토,DSC_ACR_QTY,"",2026-06-14
PRD_000164,아크릴코롯토,DSC_ACR_QTY,"",2026-06-01
PRD_000165,아크릴포카코롯토,DSC_ACR_QTY,"",2026-06-01
PRD_000166,아크릴카라비너,DSC_ACRCARA_QTY,"",2026-06-01
PRD_000168,아크릴입체코롯토,DSC_ACR_QTY,"",2026-06-01
PRD_000169,아크릴입체블럭,DSC_ACR_QTY,"",2026-06-01
PRD_000170,아크릴쉐이커★,DSC_ACR_QTY,"",2026-06-01
