frm_cd,frm_nm,comp_cd,comp_nm,disp_seq,addtn_yn
PRF_ACRYL_BADGE,아크릴뱃지 공식,COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,1,N
PRF_ACRYL_BADGE,아크릴뱃지 공식,COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),2,""
PRF_ACRYL_CARABINER,아크릴카라비너 공식,COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),1,N
PRF_ACRYL_CLIP,아크릴집게 공식,COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,1,N
PRF_ACRYL_CLIP,아크릴집게 공식,COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),2,""
PRF_ACRYL_HAIRBAND,아크릴머리끈 공식,COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,1,N
PRF_ACRYL_HAIRBAND,아크릴머리끈 공식,COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),2,""
PRF_ACRYL_KEYRING,아크릴키링 공식,COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,1,N
PRF_ACRYL_KEYRING,아크릴키링 공식,COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),,""
PRF_ACRYL_MAGNET,아크릴마그넷 공식,COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,1,N
PRF_ACRYL_MAGNET,아크릴마그넷 공식,COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),2,""
PRF_ACRYL_NAMETAG,아크릴명찰 공식,COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,1,N
PRF_ACRYL_NAMETAG,아크릴명찰 공식,COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),2,""
PRF_ACRYL_NAMETAG_GS,아크릴명찰(골드실버) 공식,COMP_ACRYL_NAMETAG_GS,아크릴명찰(골드실버) 본체,1,N
PRF_ACRYL_NAMETAG_GS,아크릴명찰(골드실버) 공식,COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),,""
PRF_ACRYL_SMARTTOK,아크릴스마트톡 공식,COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,1,N
PRF_ACRYL_SMARTTOK,아크릴스마트톡 공식,COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),2,""
PRF_CLR_ACRYL,투명 아크릴 공식,COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,1,N
PRF_COROTTO_ACRYL,아크릴코롯토 공식,COMP_ACRYL_COROTTO,아크릴코롯토(투명8T) 인쇄가공비,1,N
PRF_COROTTO_ACRYL_MTX,아크릴 코롯토 계열 공통 (가로x세로 매트릭스),COMP_ACRYL_COROTTO,아크릴코롯토(투명8T) 인쇄가공비,1,""
PRF_POSTER_ACRYLSTK_GLOSS,유광아크릴스티커 완제품가(면적/규격 단가),COMP_POSTER_ACRYLSTK_GLOSS,유광아크릴스티커 완제품가,1,Y
PRF_POSTER_ACRYLSTK_MIRROR,미러아크릴스티커 완제품가(면적/규격 단가),COMP_POSTER_ACRYLSTK_MIRROR,미러아크릴스티커 완제품가,1,Y
PRF_POSTER_ADH_CLEAR,접착투명포스터 완제품가(면적/규격 단가),COMP_POSTER_ADH_CLEAR_PVC,실사 완제품가 (접착투명포스터),1,Y
PRF_POSTER_ADH_WP,접착방수포스터 완제품가(면적/규격 단가),COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),1,Y
PRF_POSTER_ARTFABRIC,아트패브릭포스터 완제품가(면적/규격 단가),COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),1,Y
PRF_POSTER_ARTPAPER,아트페이퍼포스터 완제품가(면적/규격 단가),COMP_POSTER_ARTPAPER_MATTE,실사 완제품가 (아트페이퍼포스터),1,Y
PRF_POSTER_ARTPRINT,아트프린트포스터 완제품가(면적/규격 단가),COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),1,Y
PRF_POSTER_BANNER_M,메쉬현수막 완제품가(면적/규격 단가),COMP_POSTER_BANNER_MESH,메쉬현수막 출력,1,Y
PRF_POSTER_BANNER_M,메쉬현수막 완제품가(면적/규격 단가),COMP_BANNER_MESH_ADDON,메쉬현수막 부자재,,""
