적용일,공정,판형사이즈,인쇄옵션,수량(이상),단가,비고
,PROC_000004,SIZ_000499,POPT_000008,1,3000.0,
,PROC_000004,SIZ_000499,POPT_000009,1,4000.0,
,PROC_000004,SIZ_000499,POPT_000001,1,4000.0,
,PROC_000004,SIZ_000499,POPT_000002,1,6000.0,
,PROC_000004,SIZ_000499,POPT_000008,2,2000.0,
,PROC_000004,SIZ_000499,POPT_000009,2,2900.0,
,PROC_000004,SIZ_000499,POPT_000001,2,2800.0,
,PROC_000004,SIZ_000499,POPT_000002,2,4600.0,
,PROC_000004,SIZ_000499,POPT_000008,3,1600.0,
,PROC_000004,SIZ_000499,POPT_000009,3,2500.0,
,PROC_000004,SIZ_000499,POPT_000001,3,2500.0,
,PROC_000004,SIZ_000499,POPT_000002,3,4300.0,
,PROC_000004,SIZ_000499,POPT_000008,4,1400.0,
,PROC_000004,SIZ_000499,POPT_000009,4,2200.0,
,PROC_000004,SIZ_000499,POPT_000001,4,2000.0,
,PROC_000004,SIZ_000499,POPT_000002,4,3500.0,
,PROC_000004,SIZ_000499,POPT_000008,5,1200.0,
,PROC_000004,SIZ_000499,POPT_000009,5,2000.0,
,PROC_000004,SIZ_000499,POPT_000001,5,1700.0,
,PROC_000004,SIZ_000499,POPT_000002,5,3000.0,
,PROC_000004,SIZ_000499,POPT_000008,6,900.0,
,PROC_000004,SIZ_000499,POPT_000009,6,1900.0,
,PROC_000004,SIZ_000499,POPT_000001,6,1500.0,
,PROC_000004,SIZ_000499,POPT_000002,6,2600.0,
,PROC_000004,SIZ_000499,POPT_000008,7,800.0,
,PROC_000004,SIZ_000499,POPT_000009,7,1700.0,
,PROC_000004,SIZ_000499,POPT_000001,7,1300.0,
,PROC_000004,SIZ_000499,POPT_000002,7,2300.0,
,PROC_000004,SIZ_000499,POPT_000008,8,700.0,
,PROC_000004,SIZ_000499,POPT_000009,8,1500.0,
,PROC_000004,SIZ_000499,POPT_000001,8,1200.0,
,PROC_000004,SIZ_000499,POPT_000002,8,2100.0,
,PROC_000004,SIZ_000499,POPT_000008,9,600.0,
,PROC_000004,SIZ_000499,POPT_000009,9,1300.0,
,PROC_000004,SIZ_000499,POPT_000001,9,1100.0,
,PROC_000004,SIZ_000499,POPT_000002,9,1900.0,
,PROC_000004,SIZ_000499,POPT_000008,10,500.0,
,PROC_000004,SIZ_000499,POPT_000009,10,1200.0,
,PROC_000004,SIZ_000499,POPT_000001,10,1000.0,
,PROC_000004,SIZ_000499,POPT_000002,10,1600.0,
,PROC_000004,SIZ_000499,POPT_000008,15,450.0,
,PROC_000004,SIZ_000499,POPT_000009,15,900.0,
,PROC_000004,SIZ_000499,POPT_000001,15,900.0,
,PROC_000004,SIZ_000499,POPT_000002,15,1800.0,
,PROC_000004,SIZ_000499,POPT_000008,20,400.0,
,PROC_000004,SIZ_000499,POPT_000009,20,800.0,
,PROC_000004,SIZ_000499,POPT_000001,20,850.0,
,PROC_000004,SIZ_000499,POPT_000002,20,1700.0,
,PROC_000004,SIZ_000499,POPT_000008,25,350.0,
,PROC_000004,SIZ_000499,POPT_000009,25,700.0,
,PROC_000004,SIZ_000499,POPT_000001,25,800.0,
,PROC_000004,SIZ_000499,POPT_000002,25,1600.0,
,PROC_000004,SIZ_000499,POPT_000008,30,300.0,
,PROC_000004,SIZ_000499,POPT_000009,30,600.0,
,PROC_000004,SIZ_000499,POPT_000001,30,750.0,
,PROC_000004,SIZ_000499,POPT_000002,30,1500.0,
,PROC_000004,SIZ_000499,POPT_000008,35,280.0,
,PROC_000004,SIZ_000499,POPT_000009,35,560.0,
,PROC_000004,SIZ_000499,POPT_000001,35,700.0,
,PROC_000004,SIZ_000499,POPT_000002,35,1400.0,
,PROC_000004,SIZ_000499,POPT_000008,40,250.0,
,PROC_000004,SIZ_000499,POPT_000009,40,500.0,
,PROC_000004,SIZ_000499,POPT_000001,40,650.0,
,PROC_000004,SIZ_000499,POPT_000002,40,1300.0,
,PROC_000004,SIZ_000499,POPT_000008,45,250.0,
,PROC_000004,SIZ_000499,POPT_000009,45,500.0,
,PROC_000004,SIZ_000499,POPT_000001,45,600.0,
,PROC_000004,SIZ_000499,POPT_000002,45,1200.0,
,PROC_000004,SIZ_000499,POPT_000008,50,250.0,
,PROC_000004,SIZ_000499,POPT_000009,50,500.0,
,PROC_000004,SIZ_000499,POPT_000001,50,550.0,
,PROC_000004,SIZ_000499,POPT_000002,50,1100.0,
,PROC_000004,SIZ_000499,POPT_000008,60,200.0,
,PROC_000004,SIZ_000499,POPT_000009,60,400.0,
,PROC_000004,SIZ_000499,POPT_000001,60,500.0,
,PROC_000004,SIZ_000499,POPT_000002,60,1000.0,
,PROC_000004,SIZ_000499,POPT_000008,70,200.0,
,PROC_000004,SIZ_000499,POPT_000009,70,400.0,
,PROC_000004,SIZ_000499,POPT_000001,70,450.0,
,PROC_000004,SIZ_000499,POPT_000002,70,900.0,
,PROC_000004,SIZ_000499,POPT_000008,80,200.0,
,PROC_000004,SIZ_000499,POPT_000009,80,400.0,
,PROC_000004,SIZ_000499,POPT_000001,80,400.0,
,PROC_000004,SIZ_000499,POPT_000002,80,800.0,
,PROC_000004,SIZ_000499,POPT_000008,90,200.0,
,PROC_000004,SIZ_000499,POPT_000009,90,400.0,
,PROC_000004,SIZ_000499,POPT_000001,90,350.0,
,PROC_000004,SIZ_000499,POPT_000002,90,700.0,
,PROC_000004,SIZ_000499,POPT_000008,100,200.0,
,PROC_000004,SIZ_000499,POPT_000009,100,400.0,
,PROC_000004,SIZ_000499,POPT_000001,100,350.0,
,PROC_000004,SIZ_000499,POPT_000002,100,700.0,
,PROC_000004,SIZ_000499,POPT_000008,150,140.0,
,PROC_000004,SIZ_000499,POPT_000009,150,280.0,
,PROC_000004,SIZ_000499,POPT_000001,150,330.0,
,PROC_000004,SIZ_000499,POPT_000002,150,660.0,
,PROC_000004,SIZ_000499,POPT_000008,200,130.0,
,PROC_000004,SIZ_000499,POPT_000009,200,260.0,
,PROC_000004,SIZ_000499,POPT_000001,200,310.0,
,PROC_000004,SIZ_000499,POPT_000002,200,620.0,
,PROC_000004,SIZ_000499,POPT_000008,250,120.0,
,PROC_000004,SIZ_000499,POPT_000009,250,240.0,
,PROC_000004,SIZ_000499,POPT_000001,250,290.0,
,PROC_000004,SIZ_000499,POPT_000002,250,580.0,
,PROC_000004,SIZ_000499,POPT_000008,300,110.0,
,PROC_000004,SIZ_000499,POPT_000009,300,220.0,
,PROC_000004,SIZ_000499,POPT_000001,300,270.0,
,PROC_000004,SIZ_000499,POPT_000002,300,540.0,
,PROC_000004,SIZ_000499,POPT_000008,350,100.0,
,PROC_000004,SIZ_000499,POPT_000009,350,200.0,
,PROC_000004,SIZ_000499,POPT_000001,350,250.0,
,PROC_000004,SIZ_000499,POPT_000002,350,500.0,
,PROC_000004,SIZ_000499,POPT_000008,400,90.0,
,PROC_000004,SIZ_000499,POPT_000009,400,180.0,
,PROC_000004,SIZ_000499,POPT_000001,400,230.0,
,PROC_000004,SIZ_000499,POPT_000002,400,460.0,
,PROC_000004,SIZ_000499,POPT_000008,450,80.0,
,PROC_000004,SIZ_000499,POPT_000009,450,160.0,
,PROC_000004,SIZ_000499,POPT_000001,450,210.0,
,PROC_000004,SIZ_000499,POPT_000002,450,420.0,
,PROC_000004,SIZ_000499,POPT_000008,500,70.0,
,PROC_000004,SIZ_000499,POPT_000009,500,140.0,
,PROC_000004,SIZ_000499,POPT_000001,500,190.0,
,PROC_000004,SIZ_000499,POPT_000002,500,380.0,
,PROC_000004,SIZ_000499,POPT_000008,600,70.0,
,PROC_000004,SIZ_000499,POPT_000009,600,140.0,
,PROC_000004,SIZ_000499,POPT_000001,600,185.0,
,PROC_000004,SIZ_000499,POPT_000002,600,370.0,
,PROC_000004,SIZ_000499,POPT_000008,700,70.0,
,PROC_000004,SIZ_000499,POPT_000009,700,140.0,
,PROC_000004,SIZ_000499,POPT_000001,700,180.0,
,PROC_000004,SIZ_000499,POPT_000002,700,360.0,
,PROC_000004,SIZ_000499,POPT_000008,800,70.0,
,PROC_000004,SIZ_000499,POPT_000009,800,140.0,
,PROC_000004,SIZ_000499,POPT_000001,800,175.0,
,PROC_000004,SIZ_000499,POPT_000002,800,350.0,
,PROC_000004,SIZ_000499,POPT_000008,900,70.0,
,PROC_000004,SIZ_000499,POPT_000009,900,140.0,
,PROC_000004,SIZ_000499,POPT_000001,900,170.0,
,PROC_000004,SIZ_000499,POPT_000002,900,340.0,
,PROC_000004,SIZ_000499,POPT_000008,1000,70.0,
,PROC_000004,SIZ_000499,POPT_000009,1000,140.0,
,PROC_000004,SIZ_000499,POPT_000001,1000,165.0,
,PROC_000004,SIZ_000499,POPT_000002,1000,330.0,
,PROC_000004,SIZ_000499,POPT_000008,1200,70.0,
,PROC_000004,SIZ_000499,POPT_000009,1200,140.0,
,PROC_000004,SIZ_000499,POPT_000001,1200,163.0,
,PROC_000004,SIZ_000499,POPT_000002,1200,326.0,
,PROC_000004,SIZ_000499,POPT_000008,1400,65.0,
,PROC_000004,SIZ_000499,POPT_000009,1400,130.0,
,PROC_000004,SIZ_000499,POPT_000001,1400,161.0,
,PROC_000004,SIZ_000499,POPT_000002,1400,322.0,
,PROC_000004,SIZ_000499,POPT_000008,1600,65.0,
,PROC_000004,SIZ_000499,POPT_000009,1600,130.0,
,PROC_000004,SIZ_000499,POPT_000001,1600,159.0,
,PROC_000004,SIZ_000499,POPT_000002,1600,318.0,
,PROC_000004,SIZ_000499,POPT_000008,1800,60.0,
,PROC_000004,SIZ_000499,POPT_000009,1800,120.0,
,PROC_000004,SIZ_000499,POPT_000001,1800,157.0,
,PROC_000004,SIZ_000499,POPT_000002,1800,314.0,
,PROC_000004,SIZ_000499,POPT_000008,2000,60.0,
,PROC_000004,SIZ_000499,POPT_000009,2000,120.0,
,PROC_000004,SIZ_000499,POPT_000001,2000,155.0,
,PROC_000004,SIZ_000499,POPT_000002,2000,310.0,
,PROC_000004,SIZ_000499,POPT_000008,2500,55.0,
,PROC_000004,SIZ_000499,POPT_000009,2500,110.0,
,PROC_000004,SIZ_000499,POPT_000001,2500,154.0,
,PROC_000004,SIZ_000499,POPT_000002,2500,308.0,
,PROC_000004,SIZ_000499,POPT_000008,3000,55.0,
,PROC_000004,SIZ_000499,POPT_000009,3000,110.0,
,PROC_000004,SIZ_000499,POPT_000001,3000,153.0,
,PROC_000004,SIZ_000499,POPT_000002,3000,306.0,
,PROC_000004,SIZ_000499,POPT_000008,3500,50.0,
,PROC_000004,SIZ_000499,POPT_000009,3500,100.0,
,PROC_000004,SIZ_000499,POPT_000001,3500,152.0,
,PROC_000004,SIZ_000499,POPT_000002,3500,304.0,
,PROC_000004,SIZ_000499,POPT_000008,4000,50.0,
,PROC_000004,SIZ_000499,POPT_000009,4000,100.0,
,PROC_000004,SIZ_000499,POPT_000001,4000,151.0,
,PROC_000004,SIZ_000499,POPT_000002,4000,302.0,
,PROC_000004,SIZ_000499,POPT_000008,4500,45.0,
,PROC_000004,SIZ_000499,POPT_000009,4500,90.0,
,PROC_000004,SIZ_000499,POPT_000001,4500,150.0,
,PROC_000004,SIZ_000499,POPT_000002,4500,300.0,
,PROC_000004,SIZ_000499,POPT_000008,5000,45.0,
,PROC_000004,SIZ_000499,POPT_000009,5000,90.0,
,PROC_000004,SIZ_000499,POPT_000001,5000,149.0,
,PROC_000004,SIZ_000499,POPT_000002,5000,298.0,
,PROC_000004,SIZ_000499,POPT_000008,6000,40.0,
,PROC_000004,SIZ_000499,POPT_000009,6000,80.0,
,PROC_000004,SIZ_000499,POPT_000001,6000,148.0,
,PROC_000004,SIZ_000499,POPT_000002,6000,296.0,
,PROC_000004,SIZ_000499,POPT_000008,7000,40.0,
,PROC_000004,SIZ_000499,POPT_000009,7000,80.0,
,PROC_000004,SIZ_000499,POPT_000001,7000,147.0,
,PROC_000004,SIZ_000499,POPT_000002,7000,294.0,
,PROC_000004,SIZ_000499,POPT_000008,8000,40.0,
,PROC_000004,SIZ_000499,POPT_000009,8000,80.0,
,PROC_000004,SIZ_000499,POPT_000001,8000,146.0,
,PROC_000004,SIZ_000499,POPT_000002,8000,292.0,
,PROC_000004,SIZ_000499,POPT_000008,9000,40.0,
,PROC_000004,SIZ_000499,POPT_000009,9000,80.0,
,PROC_000004,SIZ_000499,POPT_000001,9000,145.0,
,PROC_000004,SIZ_000499,POPT_000002,9000,290.0,
,PROC_000004,SIZ_000499,POPT_000008,10000,40.0,
,PROC_000004,SIZ_000499,POPT_000009,10000,80.0,
,PROC_000004,SIZ_000499,POPT_000001,10000,145.0,
,PROC_000004,SIZ_000499,POPT_000002,10000,290.0,
,PROC_000004,SIZ_000499,POPT_000008,1000000,40.0,
,PROC_000004,SIZ_000499,POPT_000009,1000000,80.0,
,PROC_000004,SIZ_000499,POPT_000001,1000000,145.0,
,PROC_000004,SIZ_000499,POPT_000002,1000000,290.0,
