적용일,판형사이즈,공정,앞면별색,뒷면별색,별색면수,수량(이상),단가,비고
,SIZ_000499,PROC_000008,,,1,1,3000.0,
,SIZ_000499,PROC_000008,,,2,1,6000.0,
,SIZ_000499,PROC_000009,,,1,1,3000.0,
,SIZ_000499,PROC_000009,,,2,1,6000.0,
,SIZ_000499,PROC_000010,,,1,1,3000.0,
,SIZ_000499,PROC_000010,,,2,1,6000.0,
,SIZ_000499,PROC_000011,,,1,1,3000.0,
,SIZ_000499,PROC_000011,,,2,1,6000.0,
,SIZ_000499,PROC_000012,,,1,1,3000.0,
,SIZ_000499,PROC_000012,,,2,1,6000.0,
,SIZ_000499,PROC_000008,,,1,2,2500.0,
,SIZ_000499,PROC_000008,,,2,2,5000.0,
,SIZ_000499,PROC_000009,,,1,2,2500.0,
,SIZ_000499,PROC_000009,,,2,2,5000.0,
,SIZ_000499,PROC_000010,,,1,2,2500.0,
,SIZ_000499,PROC_000010,,,2,2,5000.0,
,SIZ_000499,PROC_000011,,,1,2,2500.0,
,SIZ_000499,PROC_000011,,,2,2,5000.0,
,SIZ_000499,PROC_000012,,,1,2,2500.0,
,SIZ_000499,PROC_000012,,,2,2,5000.0,
,SIZ_000499,PROC_000008,,,1,3,2300.0,
,SIZ_000499,PROC_000008,,,2,3,4600.0,
,SIZ_000499,PROC_000009,,,1,3,2300.0,
,SIZ_000499,PROC_000009,,,2,3,4600.0,
,SIZ_000499,PROC_000010,,,1,3,2300.0,
,SIZ_000499,PROC_000010,,,2,3,4600.0,
,SIZ_000499,PROC_000011,,,1,3,2300.0,
,SIZ_000499,PROC_000011,,,2,3,4600.0,
,SIZ_000499,PROC_000012,,,1,3,2300.0,
,SIZ_000499,PROC_000012,,,2,3,4600.0,
,SIZ_000499,PROC_000008,,,1,4,2100.0,
,SIZ_000499,PROC_000008,,,2,4,4200.0,
,SIZ_000499,PROC_000009,,,1,4,2100.0,
,SIZ_000499,PROC_000009,,,2,4,4200.0,
,SIZ_000499,PROC_000010,,,1,4,2300.0,
,SIZ_000499,PROC_000010,,,2,4,4600.0,
,SIZ_000499,PROC_000011,,,1,4,2300.0,
,SIZ_000499,PROC_000011,,,2,4,4600.0,
,SIZ_000499,PROC_000012,,,1,4,2300.0,
,SIZ_000499,PROC_000012,,,2,4,4600.0,
,SIZ_000499,PROC_000008,,,1,5,1900.0,
,SIZ_000499,PROC_000008,,,2,5,3800.0,
,SIZ_000499,PROC_000009,,,1,5,1900.0,
,SIZ_000499,PROC_000009,,,2,5,3800.0,
,SIZ_000499,PROC_000010,,,1,5,2100.0,
,SIZ_000499,PROC_000010,,,2,5,4200.0,
,SIZ_000499,PROC_000011,,,1,5,2100.0,
,SIZ_000499,PROC_000011,,,2,5,4200.0,
,SIZ_000499,PROC_000012,,,1,5,2100.0,
,SIZ_000499,PROC_000012,,,2,5,4200.0,
,SIZ_000499,PROC_000008,,,1,6,1800.0,
,SIZ_000499,PROC_000008,,,2,6,3600.0,
,SIZ_000499,PROC_000009,,,1,6,1800.0,
,SIZ_000499,PROC_000009,,,2,6,3600.0,
,SIZ_000499,PROC_000010,,,1,6,2000.0,
,SIZ_000499,PROC_000010,,,2,6,4000.0,
,SIZ_000499,PROC_000011,,,1,6,2000.0,
,SIZ_000499,PROC_000011,,,2,6,4000.0,
,SIZ_000499,PROC_000012,,,1,6,2000.0,
,SIZ_000499,PROC_000012,,,2,6,4000.0,
,SIZ_000499,PROC_000008,,,1,7,1700.0,
,SIZ_000499,PROC_000008,,,2,7,3400.0,
,SIZ_000499,PROC_000009,,,1,7,1700.0,
,SIZ_000499,PROC_000009,,,2,7,3400.0,
,SIZ_000499,PROC_000010,,,1,7,1900.0,
,SIZ_000499,PROC_000010,,,2,7,3800.0,
,SIZ_000499,PROC_000011,,,1,7,1900.0,
,SIZ_000499,PROC_000011,,,2,7,3800.0,
,SIZ_000499,PROC_000012,,,1,7,1900.0,
,SIZ_000499,PROC_000012,,,2,7,3800.0,
,SIZ_000499,PROC_000008,,,1,8,1600.0,
,SIZ_000499,PROC_000008,,,2,8,3200.0,
,SIZ_000499,PROC_000009,,,1,8,1600.0,
,SIZ_000499,PROC_000009,,,2,8,3200.0,
,SIZ_000499,PROC_000010,,,1,8,1800.0,
,SIZ_000499,PROC_000010,,,2,8,3600.0,
,SIZ_000499,PROC_000011,,,1,8,1800.0,
,SIZ_000499,PROC_000011,,,2,8,3600.0,
,SIZ_000499,PROC_000012,,,1,8,1800.0,
,SIZ_000499,PROC_000012,,,2,8,3600.0,
,SIZ_000499,PROC_000008,,,1,9,1500.0,
,SIZ_000499,PROC_000008,,,2,9,3000.0,
,SIZ_000499,PROC_000009,,,1,9,1500.0,
,SIZ_000499,PROC_000009,,,2,9,3000.0,
,SIZ_000499,PROC_000010,,,1,9,1700.0,
,SIZ_000499,PROC_000010,,,2,9,3400.0,
,SIZ_000499,PROC_000011,,,1,9,1700.0,
,SIZ_000499,PROC_000011,,,2,9,3400.0,
,SIZ_000499,PROC_000012,,,1,9,1700.0,
,SIZ_000499,PROC_000012,,,2,9,3400.0,
,SIZ_000499,PROC_000008,,,1,10,1400.0,
,SIZ_000499,PROC_000008,,,2,10,2800.0,
,SIZ_000499,PROC_000009,,,1,10,1400.0,
,SIZ_000499,PROC_000009,,,2,10,2800.0,
,SIZ_000499,PROC_000010,,,1,10,1600.0,
,SIZ_000499,PROC_000010,,,2,10,3200.0,
,SIZ_000499,PROC_000011,,,1,10,1600.0,
,SIZ_000499,PROC_000011,,,2,10,3200.0,
,SIZ_000499,PROC_000012,,,1,10,1600.0,
,SIZ_000499,PROC_000012,,,2,10,3200.0,
,SIZ_000499,PROC_000008,,,1,15,1350.0,
,SIZ_000499,PROC_000008,,,2,15,2700.0,
,SIZ_000499,PROC_000009,,,1,15,1350.0,
,SIZ_000499,PROC_000009,,,2,15,2700.0,
,SIZ_000499,PROC_000010,,,1,15,1500.0,
,SIZ_000499,PROC_000010,,,2,15,3000.0,
,SIZ_000499,PROC_000011,,,1,15,1500.0,
,SIZ_000499,PROC_000011,,,2,15,3000.0,
,SIZ_000499,PROC_000012,,,1,15,1500.0,
,SIZ_000499,PROC_000012,,,2,15,3000.0,
,SIZ_000499,PROC_000008,,,1,20,1300.0,
,SIZ_000499,PROC_000008,,,2,20,2600.0,
,SIZ_000499,PROC_000009,,,1,20,1300.0,
,SIZ_000499,PROC_000009,,,2,20,2600.0,
,SIZ_000499,PROC_000010,,,1,20,1450.0,
,SIZ_000499,PROC_000010,,,2,20,2900.0,
,SIZ_000499,PROC_000011,,,1,20,1450.0,
,SIZ_000499,PROC_000011,,,2,20,2900.0,
,SIZ_000499,PROC_000012,,,1,20,1450.0,
,SIZ_000499,PROC_000012,,,2,20,2900.0,
