적용일,공정,수량(이상),고정,비고
2026-06-01,PROC_000027,1,0.00,모서리/직각모서리 주문수량 1건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,1,2000.00,모서리/둥근모서리 주문수량 1건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,100,0.00,모서리/직각모서리 주문수량 100건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,100,2000.00,모서리/둥근모서리 주문수량 100건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,101,0.00,모서리/직각모서리 주문수량 101건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,101,4000.00,모서리/둥근모서리 주문수량 101건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,500,0.00,모서리/직각모서리 주문수량 500건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,500,6000.00,모서리/둥근모서리 주문수량 500건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,1000,0.00,모서리/직각모서리 주문수량 1000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,1000,11000.00,모서리/둥근모서리 주문수량 1000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,2000,0.00,모서리/직각모서리 주문수량 2000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,2000,21000.00,모서리/둥근모서리 주문수량 2000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,3000,0.00,모서리/직각모서리 주문수량 3000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,3000,31000.00,모서리/둥근모서리 주문수량 3000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,4000,0.00,모서리/직각모서리 주문수량 4000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,4000,41000.00,모서리/둥근모서리 주문수량 4000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,5000,0.00,모서리/직각모서리 주문수량 5000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,5000,51000.00,모서리/둥근모서리 주문수량 5000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,6000,0.00,모서리/직각모서리 주문수량 6000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,6000,61000.00,모서리/둥근모서리 주문수량 6000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,7000,0.00,모서리/직각모서리 주문수량 7000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,7000,71000.00,모서리/둥근모서리 주문수량 7000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,8000,0.00,모서리/직각모서리 주문수량 8000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,8000,81000.00,모서리/둥근모서리 주문수량 8000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,9000,0.00,모서리/직각모서리 주문수량 9000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,9000,91000.00,모서리/둥근모서리 주문수량 9000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000027,10000,0.00,모서리/직각모서리 주문수량 10000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000028,10000,101000.00,모서리/둥근모서리 주문수량 10000건 이상 / 작업 1건 고정 금액
